Processes,Size,Latency
2,4,0.15
3,4,0.34
4,4,0.24
5,4,0.45
6,4,0.62
7,4,0.82
8,4,1.23
9,4,1.72
10,4,1.82
11,4,1.91
12,4,2.11
13,4,2.13
14,4,2.26
15,4,2.48
16,4,2.75
17,4,3.09
18,4,3.48
19,4,3.35
20,4,3.55
21,4,3.64
22,4,3.83
23,4,4.00
24,4,4.17
25,4,4.13
26,4,4.21
27,4,4.39
28,4,4.62
29,4,4.74
30,4,4.88
31,4,5.14
32,4,5.61
33,4,6.23
34,4,6.78
35,4,6.67
36,4,7.00
37,4,7.03
38,4,7.27
39,4,7.20
40,4,7.36
41,4,7.38
42,4,7.42
43,4,7.64
44,4,8.00
45,4,8.16
46,4,8.28
47,4,8.61
48,4,8.86
49,4,8.83
50,4,8.88
51,4,8.97
52,4,9.27
53,4,9.37
54,4,9.58
55,4,9.87
56,4,10.15
57,4,10.20
58,4,10.27
59,4,10.48
60,4,10.91
61,4,10.94
62,4,11.15
63,4,11.40
64,4,11.32
65,4,11.00
66,4,11.55
67,4,11.95
68,4,12.41
69,4,12.64
70,4,12.95
71,4,12.86
72,4,13.41
73,4,13.61
74,4,13.82
75,4,13.97
76,4,14.26
77,4,14.69
78,4,14.66
79,4,14.66
80,4,15.24
81,4,15.38
82,4,15.52
83,4,15.76
84,4,16.10
85,4,16.29
86,4,16.48
87,4,16.59
88,4,17.07
89,4,17.09
90,4,17.37
91,4,17.66
92,4,18.18
93,4,18.48
94,4,18.62
95,4,18.21
96,4,18.99
97,4,18.81
98,4,19.23
99,4,19.25
100,4,19.75
101,4,20.27
102,4,20.55
103,4,20.35
104,4,20.75
105,4,20.92
106,4,21.19
107,4,21.33
108,4,21.74
109,4,21.81
110,4,21.96
111,4,21.88
112,4,22.55
113,4,22.48
114,4,22.95
115,4,22.62
116,4,23.30
117,4,23.20
118,4,23.43
119,4,23.61
120,4,24.29
121,4,24.20
122,4,24.36
123,4,24.63
124,4,24.94
125,4,24.82
126,4,25.10
127,4,24.17
128,4,24.71
129,4,24.72
130,4,25.24
131,4,25.76
132,4,26.91
133,4,26.92
134,4,26.99
135,4,27.52
136,4,28.13
137,4,28.41
138,4,29.00
139,4,29.31
140,4,49.31
141,4,30.00
142,4,30.07
143,4,30.09
144,4,30.46
145,4,30.47
146,4,30.86
147,4,31.88
148,4,31.55
149,4,31.63
150,4,31.65
151,4,32.23
152,4,33.01
153,4,32.73
154,4,33.03
155,4,33.53
156,4,33.62
157,4,33.33
158,4,33.75
159,4,33.89
160,4,34.19
161,4,34.55
162,4,34.77
163,4,34.60
164,4,35.39
165,4,35.96
166,4,35.46
167,4,35.23
168,4,36.09
169,4,35.52
170,4,36.42
171,4,36.37
172,4,37.26
173,4,37.21
174,4,37.53
175,4,37.41
176,4,37.86
177,4,37.73
178,4,37.55
179,4,38.52
180,4,38.68
181,4,38.93
182,4,39.45
183,4,39.63
184,4,40.87
185,4,40.40
186,4,40.89
187,4,41.58
188,4,42.20
189,4,42.14
190,4,41.60
191,4,41.66
192,4,41.61
193,4,42.95
194,4,43.15
195,4,43.40
196,4,44.09
197,4,42.88
198,4,42.44
199,4,43.28
200,4,43.40
201,4,43.17
202,4,43.20
203,4,43.74
204,4,43.93
205,4,44.13
206,4,43.89
207,4,44.26
208,4,44.46
209,4,45.06
210,4,44.90
211,4,45.83
212,4,45.67
213,4,45.66
214,4,45.77
215,4,46.40
216,4,46.50
217,4,47.14
218,4,46.80
219,4,47.70
220,4,48.51
221,4,48.23
222,4,48.19
223,4,48.69
224,4,48.12
225,4,48.35
226,4,49.14
227,4,48.93
228,4,48.96
229,4,48.90
230,4,49.17
231,4,49.19
232,4,50.39
233,4,50.72
234,4,50.57
235,4,51.21
236,4,50.69
237,4,50.27
238,4,50.71
239,4,51.08
240,4,50.62
241,4,50.61
242,4,50.78
243,4,52.59
244,4,51.04
245,4,51.43
246,4,51.41
247,4,52.19
248,4,51.66
249,4,52.00
250,4,52.93
251,4,52.59
252,4,52.83
253,4,51.39
254,4,51.79
255,4,50.82
256,4,27.03
