Processes,Size,Latency
2,2,0.15
2,4,0.16
2,8,0.15
2,16,0.14
2,32,0.15
2,64,0.15
2,128,0.21
2,256,0.22
2,512,0.23
2,1024,0.26
2,2048,0.32
2,4096,0.43
2,8192,0.68
2,16384,1.29
2,32768,2.33
2,65536,4.28
2,131072,12.53
2,262144,27.07
4,2,0.20
4,4,0.20
4,8,0.20
4,16,0.20
4,32,0.22
4,64,0.26
4,128,0.33
4,256,0.34
4,512,0.39
4,1024,0.49
4,2048,0.48
4,4096,0.98
4,8192,1.33
4,16384,2.31
4,32768,5.40
4,65536,9.26
4,131072,19.08
4,262144,46.29
8,2,0.73
8,4,0.79
8,8,0.82
8,16,0.79
8,32,0.95
8,64,1.22
8,128,1.30
8,256,1.40
8,512,1.78
8,1024,2.20
8,2048,3.28
8,4096,5.32
8,8192,8.42
8,16384,5.69
8,32768,9.47
8,65536,20.62
8,131072,52.55
8,262144,145.29
16,2,1.15
16,4,1.24
16,8,1.33
16,16,1.41
16,32,1.58
16,64,1.80
16,128,2.03
16,256,2.50
16,512,3.29
16,1024,4.79
16,2048,7.54
16,4096,12.63
16,8192,20.45
16,16384,20.88
16,32768,23.82
16,65536,52.70
16,131072,101.21
16,262144,169.59
32,2,1.66
32,4,1.64
32,8,1.91
32,16,2.14
32,32,2.42
32,64,2.71
32,128,3.37
32,256,4.19
32,512,7.59
32,1024,8.71
32,2048,12.42
32,4096,17.30
32,8192,43.70
32,16384,19.65
32,32768,47.21
32,65536,103.45
32,131072,112.50
32,262144,241.16
64,2,1.74
64,4,2.27
64,8,2.43
64,16,2.68
64,32,3.07
64,64,3.43
64,128,4.68
64,256,6.35
64,512,15.64
64,1024,17.52
64,2048,26.96
64,4096,36.46
64,8192,54.67
64,16384,51.63
64,32768,77.63
64,65536,110.92
64,131072,135.66
64,262144,415.00
128,2,2.88
128,4,3.18
128,8,3.55
128,16,6.75
128,32,7.00
128,64,8.45
128,128,15.95
128,256,19.09
128,512,38.97
128,1024,40.85
128,2048,66.03
128,4096,88.24
128,8192,141.52
128,16384,114.08
128,32768,148.26
128,65536,167.11
128,131072,214.48
128,262144,1089.06
256,2,1.79
256,4,2.06
256,8,2.57
256,16,2.97
256,32,4.37
256,64,6.38
256,128,10.42
256,256,15.56
256,512,84.13
256,1024,93.79
256,2048,126.72
256,4096,164.57
256,8192,242.17
256,16384,125.19
256,32768,184.86
256,65536,313.86
256,131072,640.33
256,262144,2030.74
