Test 2
Running osu_latency tests across different core configurations...
Testing Same CCX

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.14
2                       0.15
4                       0.14
8                       0.15
16                      0.14
32                      0.15
64                      0.15
128                     0.20
256                     0.20
512                     0.23
1024                    0.26
2048                    0.31
4096                    0.41
8192                    0.58
16384                   1.02
32768                   1.71
65536                   3.00
131072                  5.55
262144                 20.23
524288                 42.36
1048576                81.34
2097152               161.90
4194304               325.86
Testing Same CCD, Different CCX

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.32
2                       0.32
4                       0.30
8                       0.31
16                      0.32
32                      0.41
64                      0.40
128                     0.45
256                     0.47
512                     0.51
1024                    0.68
2048                    1.02
4096                    1.45
8192                    2.19
16384                   3.58
32768                   6.35
65536                  11.62
131072                 22.22
262144                 23.05
524288                 61.78
1048576               113.27
2097152               219.01
4194304               442.62
Testing Same NUMA

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.34
4                       0.34
8                       0.34
16                      0.34
32                      0.44
64                      0.44
128                     0.49
256                     0.50
512                     0.54
1024                    0.71
2048                    1.03
4096                    1.51
8192                    2.56
16384                   4.16
32768                   7.42
65536                  12.84
131072                 22.09
262144                 25.49
524288                 62.51
1048576               123.82
2097152               247.06
4194304               481.55
Testing Same SOCKET

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.36
2                       0.34
4                       0.34
8                       0.35
16                      0.35
32                      0.47
64                      0.47
128                     0.53
256                     0.54
512                     0.58
1024                    0.76
2048                    1.12
4096                    1.58
8192                    2.63
16384                   4.26
32768                   7.56
65536                  13.90
131072                 23.06
262144                 26.50
524288                 61.18
1048576               123.11
2097152               241.31
4194304               489.55
Testing Different SOCKET

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.42
2                       0.40
4                       0.40
8                       0.40
16                      0.40
32                      0.54
64                      0.54
128                     0.59
256                     0.60
512                     0.63
1024                    0.85
2048                    1.29
4096                    1.74
8192                    2.88
16384                   4.61
32768                   8.22
65536                  14.85
131072                 28.43
262144                 26.80
524288                 62.19
1048576               129.78
2097152               258.71
4194304               510.96
Testing Different NODE

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.78
2                       1.77
4                       1.77
8                       1.76
16                      1.77
32                      1.90
64                      1.95
128                     1.98
256                     2.63
512                     2.75
1024                    3.23
2048                    3.43
4096                    4.29
8192                    5.14
16384                   6.43
32768                   8.04
65536                  11.45
131072                 17.48
262144                 28.20
524288                 50.18
1048576                92.27
2097152               177.40
4194304               347.28
All tests completed.
