Nodi utilizzati: epyc[003-004]
BROADCAST 1
2, 2, 0.15
2, 4, 0.15
2, 8, 0.15
2, 16, 0.14
2, 32, 0.15
2, 64, 0.14
2, 128, 0.21
2, 256, 0.21
2, 512, 0.23
2, 1024, 0.27
2, 2048, 0.30
2, 4096, 0.40
2, 8192, 0.56
2, 16384, 2.30
2, 32768, 4.14
2, 65536, 5.37
2, 131072, 8.79
2, 262144, 20.33
4, 2, 0.25
4, 4, 0.24
4, 8, 0.24
4, 16, 0.24
4, 32, 0.26
4, 64, 0.25
4, 128, 0.37
4, 256, 0.39
4, 512, 0.42
4, 1024, 0.49
4, 2048, 0.60
4, 4096, 0.82
4, 8192, 1.22
4, 16384, 5.66
4, 32768, 10.45
4, 65536, 15.34
4, 131072, 25.62
4, 262144, 53.92
8, 2, 1.24
8, 4, 1.23
8, 8, 1.23
8, 16, 1.24
8, 32, 1.39
8, 64, 1.34
8, 128, 1.61
8, 256, 1.68
8, 512, 1.79
8, 1024, 1.96
8, 2048, 2.43
8, 4096, 3.19
8, 8192, 4.48
8, 16384, 14.65
8, 32768, 22.27
8, 65536, 37.00
8, 131072, 70.64
8, 262144, 142.52
16, 2, 2.72
16, 4, 2.74
16, 8, 2.73
16, 16, 2.74
16, 32, 3.04
16, 64, 3.01
16, 128, 3.51
16, 256, 3.48
16, 512, 3.64
16, 1024, 4.32
16, 2048, 5.19
16, 4096, 6.51
16, 8192, 9.10
16, 16384, 30.71
16, 32768, 46.15
16, 65536, 77.37
16, 131072, 146.18
16, 262144, 295.63
32, 2, 5.60
32, 4, 5.61
32, 8, 5.63
32, 16, 5.63
32, 32, 6.34
32, 64, 6.12
32, 128, 7.11
32, 256, 7.16
32, 512, 7.69
32, 1024, 8.77
32, 2048, 10.79
32, 4096, 13.71
32, 8192, 19.58
32, 16384, 61.88
32, 32768, 93.69
32, 65536, 157.44
32, 131072, 296.07
32, 262144, 597.32
64, 2, 11.33
64, 4, 11.26
64, 8, 11.25
64, 16, 11.33
64, 32, 12.28
64, 64, 12.30
64, 128, 13.99
64, 256, 14.13
64, 512, 14.92
64, 1024, 16.64
64, 2048, 21.60
64, 4096, 27.39
64, 8192, 39.08
64, 16384, 126.78
64, 32768, 194.94
64, 65536, 331.85
64, 131072, 618.72
64, 262144, 1230.65
128, 2, 24.68
128, 4, 24.04
128, 8, 24.14
128, 16, 24.44
128, 32, 25.41
128, 64, 25.15
128, 128, 29.59
128, 256, 29.45
128, 512, 31.33
128, 1024, 35.38
128, 2048, 48.46
128, 4096, 63.00
128, 8192, 116.05
128, 16384, 270.98
128, 32768, 411.12
128, 65536, 686.84
128, 131072, 1269.34
128, 262144, 2489.40
256, 2, 27.43
256, 4, 26.96
256, 8, 27.18
256, 16, 26.51
256, 32, 30.89
256, 64, 30.31
256, 128, 41.41
256, 256, 43.49
256, 512, 47.77
256, 1024, 61.30
256, 2048, 100.41
256, 4096, 156.49
256, 8192, 276.93
256, 16384, 575.98
256, 32768, 1038.03
256, 65536, 1346.66
256, 131072, 2510.84
256, 262144, 4957.77
2, 2, 0.15
2, 4, 0.15
2, 8, 0.15
2, 16, 0.15
2, 32, 0.15
2, 64, 0.15
