Workers,Size,ComputeTime,IOTime,TotalTime
2,10000,13.429036,0.066011,13.495068
3,10000,6.714133,0.088485,6.802640
4,10000,4.488036,0.075285,4.563346
5,10000,3.381658,0.087497,3.469174
6,10000,2.711080,0.089794,2.800896
7,10000,2.262847,0.073393,2.336262
8,10000,1.942732,0.074105,2.016858
9,10000,1.706655,0.073506,1.780178
10,10000,1.520579,0.090748,1.611344
11,10000,1.370995,0.092870,1.463883
12,10000,1.256827,0.095243,1.352089
13,10000,1.157234,0.076994,1.234247
14,10000,1.067038,0.077841,1.144924
15,10000,0.996937,0.077257,1.074214
16,10000,0.931033,0.079188,1.010248
17,10000,0.870053,0.081401,0.951475
18,10000,0.817910,0.065396,0.883321
19,10000,0.773451,0.058759,0.832225
20,10000,0.733465,0.058930,0.792407
21,10000,0.699005,0.058995,0.758017
22,10000,0.665676,0.064045,0.729739
23,10000,0.636560,0.062182,0.698757
24,10000,0.610088,0.060877,0.670981
25,10000,0.589318,0.063646,0.652985
26,10000,0.565238,0.059833,0.625088
27,10000,0.543190,0.062007,0.605208
28,10000,0.520384,0.071216,0.591610
29,10000,0.508594,0.060793,0.569399
30,10000,0.493661,0.060138,0.553812
31,10000,0.471154,0.059724,0.530890
32,10000,0.454982,0.076537,0.531530
33,10000,0.443092,0.074138,0.517242
34,10000,0.432124,0.061465,0.493596
35,10000,0.425327,0.060485,0.485829
36,10000,0.406950,0.061264,0.468232
37,10000,0.397123,0.060268,0.457404
38,10000,0.388590,0.066763,0.455362
39,10000,0.377137,0.075750,0.452896
40,10000,0.368387,0.059060,0.427458
41,10000,0.360873,0.058760,0.419643
42,10000,0.352541,0.059539,0.412089
43,10000,0.343265,0.064491,0.407763
44,10000,0.336514,0.059538,0.396061
45,10000,0.330214,0.057450,0.387672
46,10000,0.323811,0.058805,0.382628
47,10000,0.317580,0.058898,0.376489
48,10000,0.311717,0.061912,0.373638
49,10000,0.304618,0.058363,0.362993
50,10000,0.299083,0.057820,0.356913
51,10000,0.294302,0.060008,0.354321
52,10000,0.288441,0.058458,0.346908
53,10000,0.284432,0.058857,0.343300
54,10000,0.279282,0.059640,0.338934
55,10000,0.275695,0.058679,0.334385
56,10000,0.270801,0.058276,0.329088
57,10000,0.266697,0.058426,0.325133
58,10000,0.261731,0.055667,0.317408
59,10000,0.258247,0.058296,0.316553
60,10000,0.267667,0.075643,0.343321
61,10000,0.256156,0.061051,0.317218
62,10000,0.248416,0.058299,0.306726
63,10000,0.246181,0.074926,0.321113
64,10000,0.243905,0.058603,0.302519
65,10000,0.244653,0.058556,0.303219
66,10000,0.256431,0.065322,0.321770
67,10000,0.237751,0.059203,0.296967
68,10000,0.251468,0.059127,0.310618
69,10000,0.242951,0.058305,0.301279
70,10000,0.234903,0.063720,0.298633
71,10000,0.227950,0.061498,0.289461
72,10000,0.220439,0.059111,0.279562
73,10000,0.230710,0.058814,0.289549
74,10000,0.263488,0.063920,0.327429
75,10000,0.234658,0.076499,0.311188
76,10000,0.210452,0.060658,0.271120
77,10000,0.225712,0.076313,0.302035
78,10000,0.206979,0.073689,0.280681
79,10000,0.223647,0.059767,0.283427
80,10000,0.219584,0.076035,0.295648
81,10000,0.219478,0.078722,0.298210
82,10000,0.214097,0.061552,0.275662
83,10000,0.209860,0.060227,0.270136
84,10000,0.205604,0.059403,0.265029
85,10000,0.198916,0.076702,0.275637
86,10000,0.196249,0.070280,0.266543
87,10000,0.193014,0.075797,0.268820
88,10000,0.204034,0.059819,0.263872
89,10000,0.191007,0.059816,0.250842
90,10000,0.188842,0.059287,0.248146
91,10000,0.195826,0.059850,0.255690
92,10000,0.200379,0.060195,0.260601
93,10000,0.202014,0.058348,0.260384
94,10000,0.197179,0.058940,0.256149
95,10000,0.193074,0.059563,0.252652
96,10000,0.189068,0.075500,0.264589
97,10000,0.190498,0.055912,0.246432
