Workers,Size,ComputeTime,IOTime,TotalTime
2,10000,10.141528,0.058713,10.200258
3,10000,5.076749,0.083641,5.160413
4,10000,3.387589,0.074179,3.461784
5,10000,2.562298,0.068881,2.631203
6,10000,2.055975,0.069312,2.125314
7,10000,1.717905,0.070316,1.788243
8,10000,1.494363,0.077709,1.572096
9,10000,1.295768,0.071425,1.367211
10,10000,1.154453,0.071329,1.225799
11,10000,1.043465,0.072810,1.116301
12,10000,0.952092,0.074413,1.026522
13,10000,0.875204,0.072951,0.948181
14,10000,0.810887,0.063824,0.874727
15,10000,0.755658,0.062135,0.817806
16,10000,0.701041,0.060204,0.761265
17,10000,0.665511,0.060189,0.725715
18,10000,0.623707,0.059501,0.683227
19,10000,0.587759,0.059463,0.647234
20,10000,0.558249,0.060544,0.618809
21,10000,0.533888,0.060277,0.594185
22,10000,0.510777,0.059844,0.570635
23,10000,0.487147,0.068956,0.556116
24,10000,0.467439,0.060386,0.527850
25,10000,0.446761,0.060238,0.507009
26,10000,0.430511,0.058565,0.489093
27,10000,0.417221,0.058998,0.476236
28,10000,0.401946,0.058533,0.460493
29,10000,0.386602,0.062561,0.449174
30,10000,0.368937,0.060871,0.429819
31,10000,0.396802,0.060752,0.457564
32,10000,0.348576,0.058785,0.407373
33,10000,0.338722,0.059258,0.397991
34,10000,0.329689,0.060401,0.390101
35,10000,0.321384,0.077246,0.398641
36,10000,0.310712,0.064275,0.374998
37,10000,0.303939,0.064818,0.368776
38,10000,0.301439,0.059762,0.361218
39,10000,0.289087,0.061013,0.350110
40,10000,0.281324,0.060335,0.341668
41,10000,0.275228,0.060249,0.335486
42,10000,0.268370,0.059674,0.328052
43,10000,0.263206,0.068763,0.331979
44,10000,0.259110,0.059116,0.318235
45,10000,0.254446,0.059877,0.314333
46,10000,0.246908,0.060208,0.307124
47,10000,0.242715,0.060063,0.302789
48,10000,0.238231,0.059917,0.298159
49,10000,0.234240,0.060168,0.294414
50,10000,0.230333,0.060081,0.290420
51,10000,0.227224,0.060634,0.287868
52,10000,0.222274,0.060401,0.282682
53,10000,0.218772,0.059146,0.277924
54,10000,0.216586,0.060107,0.276702
55,10000,0.212305,0.062595,0.274907
56,10000,0.208817,0.061165,0.269994
57,10000,0.206454,0.060639,0.267102
58,10000,0.205070,0.059767,0.264843
59,10000,0.204903,0.061005,0.265927
60,10000,0.195884,0.060011,0.255906
61,10000,0.256244,0.064128,0.320388
62,10000,0.198446,0.060632,0.259089
63,10000,0.189205,0.060915,0.250129
64,10000,0.197870,0.059577,0.257460
65,10000,0.196900,0.058657,0.255575
66,10000,0.183166,0.062122,0.245305
67,10000,0.191949,0.060984,0.252954
68,10000,0.195635,0.060310,0.255963
69,10000,0.195613,0.060357,0.255988
70,10000,0.187068,0.059757,0.246847
71,10000,0.182098,0.060645,0.242756
72,10000,0.178493,0.060652,0.239163
73,10000,0.185641,0.059524,0.245177
74,10000,0.187018,0.059599,0.246626
75,10000,0.174864,0.061244,0.236122
76,10000,0.183176,0.060449,0.243652
77,10000,0.169420,0.059859,0.229291
78,10000,0.174768,0.076088,0.250866
79,10000,0.177583,0.075585,0.253194
80,10000,0.172614,0.075294,0.247926
81,10000,0.173710,0.074322,0.248058
82,10000,0.169577,0.076873,0.246463
83,10000,0.169649,0.076906,0.246573
84,10000,0.163807,0.061283,0.225101
85,10000,0.167324,0.075932,0.243273
86,10000,0.159642,0.076370,0.236025
87,10000,0.168339,0.074421,0.242774
88,10000,0.162962,0.075938,0.238925
89,10000,0.163580,0.075691,0.239289
90,10000,0.164078,0.075303,0.239403
91,10000,0.158684,0.075335,0.234029
92,10000,0.162112,0.073719,0.235845
93,10000,0.162723,0.075472,0.238221
94,10000,0.160013,0.075943,0.235975
95,10000,0.159582,0.074605,0.234198
96,10000,0.154700,0.075061,0.229779
97,10000,0.150043,0.070562,0.220629
98,10000,0.156564,0.060462,0.217060
99,10000,0.159493,0.074820,0.234338
100,10000,0.155481,0.075042,0.230545
101,10000,0.148078,0.059772,0.207864
102,10000,0.150157,0.060725,0.210896
103,10000,0.153660,0.061910,0.215589
104,10000,0.149090,0.062349,0.211457
105,10000,0.141736,0.067750,0.209500
106,10000,0.146809,0.068710,0.215537
107,10000,0.150083,0.062085,0.212197
108,10000,0.147984,0.068712,0.216722
109,10000,0.144301,0.075422,0.219752
110,10000,0.141629,0.064730,0.206378
111,10000,0.138055,0.067871,0.205945
112,10000,0.140007,0.068059,0.208090
113,10000,0.137626,0.067588,0.205233
114,10000,0.139220,0.067718,0.206962
115,10000,0.131387,0.066468,0.197867
116,10000,0.135942,0.067472,0.203435
117,10000,0.136334,0.066569,0.202929
118,10000,0.132700,0.067550,0.200272
119,10000,0.139147,0.065334,0.204497
120,10000,0.137597,0.067315,0.204941
121,10000,0.127619,0.066984,0.194628
122,10000,0.136315,0.068273,0.204622
123,10000,0.126480,0.064726,0.191218
124,10000,0.133741,0.068111,0.201872
125,10000,0.133211,0.067745,0.200978
126,10000,0.134750,0.070791,0.205572
127,10000,0.132739,0.067743,0.200508
128,10000,0.130576,0.068307,0.198898
129,10000,0.126609,0.068000,0.194624
130,10000,0.127172,0.064575,0.191770
131,10000,0.124564,0.068657,0.193242
132,10000,0.127647,0.068090,0.195760
133,10000,0.119392,0.067463,0.186865
134,10000,0.125611,0.064811,0.190448
135,10000,0.124712,0.067692,0.192428
136,10000,0.123220,0.069061,0.192294
137,10000,0.124493,0.068019,0.192539
138,10000,0.139499,0.064836,0.204361
139,10000,0.122747,0.068414,0.191185
140,10000,0.123165,0.067599,0.190782
141,10000,0.132835,0.068227,0.201087
142,10000,0.121703,0.065701,0.187448
143,10000,0.112058,0.068867,0.180967
144,10000,0.112810,0.066963,0.179787
145,10000,0.114645,0.068096,0.182755
146,10000,0.119276,0.065853,0.185158
147,10000,0.121150,0.067739,0.188915
148,10000,0.120356,0.068269,0.188645
149,10000,0.116664,0.068404,0.185081
150,10000,0.110240,0.066631,0.176880
151,10000,0.118462,0.067469,0.185948
152,10000,0.113603,0.068231,0.181854
153,10000,0.118078,0.068482,0.186585
154,10000,0.114525,0.066905,0.181442
155,10000,0.111924,0.066840,0.178777
156,10000,0.172711,0.068741,0.241466
157,10000,0.365929,0.070891,0.436845
158,10000,0.111656,0.065042,0.176710
159,10000,0.112973,0.068923,0.181911
160,10000,0.115144,0.068217,0.183379
161,10000,0.110279,0.069291,0.179584
162,10000,0.107347,0.064812,0.172170
163,10000,0.110312,0.068151,0.178493
164,10000,0.119101,0.068659,0.187797
165,10000,0.113788,0.066966,0.180772
166,10000,0.117083,0.066630,0.183738
167,10000,0.115543,0.069149,0.184715
168,10000,0.118390,0.067424,0.185833
169,10000,0.116375,0.065371,0.181782
170,10000,0.114307,0.068758,0.183091
171,10000,0.116912,0.067576,0.184514
172,10000,0.112699,0.068350,0.181074
173,10000,0.114294,0.064723,0.179042
174,10000,0.118904,0.068367,0.187294
175,10000,0.115029,0.067322,0.182372
176,10000,0.111130,0.068031,0.179180
177,10000,0.114361,0.064905,0.179295
178,10000,0.111348,0.067795,0.179155
179,10000,0.110762,0.067596,0.178371
