Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,14.061630,0.105346,14.167012
2,10000,12.612879,1.494180,14.107984
3,10000,6.971878,1.402322,8.377476
4,10000,9.026802,1.848185,10.875027
5,10000,7.599822,1.651039,9.250901
6,10000,5.709475,1.613967,7.323484
7,10000,5.834298,2.209125,8.043473
8,10000,5.215440,3.706931,8.922401
9,10000,4.269771,2.082411,6.352260
10,10000,4.239873,1.693114,5.933157
11,10000,3.889758,2.237390,6.127426
12,10000,3.423495,1.904123,5.330281
13,10000,3.272711,2.065408,5.339256
14,10000,3.048809,2.083543,5.132737
15,10000,2.770780,2.555906,5.327817
16,10000,2.683902,1.902207,4.586158
17,10000,2.526801,2.513551,5.040621
18,10000,2.375172,2.484771,4.860000
19,10000,2.318680,3.424677,5.743398
20,10000,2.200473,3.265519,5.466316
21,10000,2.051250,3.170610,5.222060
22,10000,2.006694,2.257244,4.264030
23,10000,1.927161,3.244842,5.173406
24,10000,1.803909,3.911168,5.718180
25,10000,1.738785,2.154246,3.896263
26,10000,1.669540,3.205500,4.875373
27,10000,1.581986,2.107875,3.690304
28,10000,1.557711,2.321099,3.879157
29,10000,1.505105,2.595501,4.101004
30,10000,1.429018,3.793433,5.225458
31,10000,1.411544,3.075409,4.487385
32,10000,1.366866,2.891419,4.258409
33,10000,1.311042,2.940913,4.252039
34,10000,1.293021,2.382778,3.675946
35,10000,1.256791,3.451649,4.708883
36,10000,1.206247,3.071303,4.277656
37,10000,1.186155,3.754825,4.941152
38,10000,1.155261,2.922036,4.077712
39,10000,1.111214,3.249532,4.361178
40,10000,1.099524,3.180415,4.280349
41,10000,1.073107,3.696151,4.769677
42,10000,1.036160,3.618093,4.654676
43,10000,1.023835,3.737058,4.761017
44,10000,0.999831,3.162775,4.163076
45,10000,0.969872,3.681361,4.651611
46,10000,0.959140,2.931427,3.891028
47,10000,0.941888,3.486087,4.428348
48,10000,0.913062,3.072005,3.985460
49,10000,0.899860,3.365058,4.268234
50,10000,0.883380,3.509333,4.392917
51,10000,0.859393,3.159868,4.022554
52,10000,0.847594,2.852211,3.703242
53,10000,0.834190,3.247283,4.084565
54,10000,0.811818,0.771101,1.585960
55,10000,0.805734,3.064505,3.871429
56,10000,0.788363,1.523878,2.312726
57,10000,0.771300,3.370784,4.145324
58,10000,0.760813,3.205357,3.969796
59,10000,0.747521,3.249883,4.000482
60,10000,0.735897,4.280846,5.020236
61,10000,0.725332,3.787727,4.516202
62,10000,0.712205,4.239411,4.952095
63,10000,0.700540,4.282253,4.985817
64,10000,0.690475,3.980838,4.671496
65,10000,0.681543,4.839997,5.521928
66,10000,0.665982,4.526198,5.192395
67,10000,0.660671,3.715390,4.376307
68,10000,0.651666,3.982191,4.634047
69,10000,0.638971,3.473592,4.112888
70,10000,0.634561,4.299836,4.934627
71,10000,0.624900,3.443493,4.068645
72,10000,0.612787,1.192416,1.805410
73,10000,0.608368,0.147148,0.755458
74,10000,0.599039,3.815547,4.414907
75,10000,0.587308,3.988061,4.575568
76,10000,0.581732,1.199232,1.781249
77,10000,0.576541,1.125023,1.701918
78,10000,0.565024,4.168339,4.733646
79,10000,0.560502,4.449714,5.010486
80,10000,0.555698,0.975802,1.531822
81,10000,0.544653,3.344665,3.889603
82,10000,0.542989,3.258777,3.802119
83,10000,0.532903,0.844504,1.377814
84,10000,0.525350,4.655117,5.180752
85,10000,0.520866,3.531335,4.052493
86,10000,0.515360,3.349217,3.864886
87,10000,0.508081,4.119680,4.628004
88,10000,0.503648,1.081067,1.584974
89,10000,0.497252,4.809304,5.306830
90,10000,0.490591,4.791520,5.282522
91,10000,0.490272,5.824529,6.315097
92,10000,0.484480,0.686215,1.171057
93,10000,0.475715,4.939050,5.415085
94,10000,0.473196,5.088905,5.562395
95,10000,0.467879,1.530490,1.998641
96,10000,0.461258,0.176533,0.638214
97,10000,0.459528,4.874687,5.334583
98,10000,0.455220,4.002497,4.458018
99,10000,0.447917,5.355925,5.804155
100,10000,0.447800,4.857316,5.305510
101,10000,0.443405,4.327468,4.771223
102,10000,0.435867,1.654479,2.090783
103,10000,0.435861,3.711498,4.147863
104,10000,0.431754,1.540793,1.972928
105,10000,0.425552,4.021370,4.447335
106,10000,0.423752,4.125965,4.550188
107,10000,0.417537,4.414071,4.832032
108,10000,0.413966,3.616722,4.031214
109,10000,0.417099,4.315926,4.733223
110,10000,0.411332,1.356249,1.767981
111,10000,0.404354,4.250977,4.655728
112,10000,0.402916,8.450085,8.853334
113,10000,0.397078,4.018705,4.416157
114,10000,0.399066,4.373425,4.772813
115,10000,0.395967,5.483463,5.880000
116,10000,0.389777,4.655786,5.045988
117,10000,0.386381,4.884191,5.271187
118,10000,0.389393,5.713928,6.103842
119,10000,0.386214,4.178024,4.564764
120,10000,0.382418,4.781604,5.164367
121,10000,0.375592,5.343252,5.719516
122,10000,0.377378,5.171336,5.549290
123,10000,0.372525,0.992706,1.365741
124,10000,0.370791,4.412699,4.784118
125,10000,0.371318,5.029556,5.401467
126,10000,0.366150,1.392500,1.759233
127,10000,0.369364,4.978363,5.348194
128,10000,0.365362,5.601610,5.967598
129,10000,0.359603,4.895568,5.258820
130,10000,0.360265,6.006335,6.369878
131,10000,0.354703,5.964685,6.322348
132,10000,0.355276,5.523417,5.882609
133,10000,0.348943,5.607966,5.960072
134,10000,0.341556,5.791776,6.136459
135,10000,0.340639,4.458408,4.802789
136,10000,0.337989,5.422837,5.764200
137,10000,0.338855,5.524264,5.867482
138,10000,0.332781,5.644466,5.980166
139,10000,0.336859,4.564941,4.905030
140,10000,0.329836,4.833017,5.167485
141,10000,0.331047,4.525790,4.860011
142,10000,0.326662,5.644873,5.978027
143,10000,0.326282,5.027067,5.360146
144,10000,0.322230,4.603572,4.929635
145,10000,0.319740,5.160076,5.483188
