Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,14.173320,11.313256,25.486603
2,10000,12.595595,1.277091,13.872711
3,10000,6.954745,1.748777,8.703554
4,10000,8.996973,1.502687,10.499691
5,10000,7.577718,1.485053,9.062794
6,10000,5.632652,1.683692,7.316371
7,10000,5.759112,1.489276,7.248411
8,10000,5.145877,1.614007,6.759916
9,10000,4.205865,1.765461,5.971350
10,10000,4.187446,1.338990,5.526463
11,10000,3.830721,1.471120,5.301865
12,10000,3.375378,1.594131,4.969535
13,10000,3.268349,1.587027,4.855407
14,10000,3.043339,1.621306,4.664669
15,10000,2.762036,1.633506,4.395569
16,10000,2.676692,1.761284,4.438000
17,10000,2.525740,1.512529,4.038303
18,10000,2.333472,1.507983,3.841485
19,10000,2.266429,1.906785,4.173241
20,10000,2.158075,1.393734,3.551834
21,10000,2.014020,1.601852,3.615903
22,10000,1.965394,1.645033,3.610461
23,10000,1.882957,2.407792,4.290782
24,10000,1.771534,1.290904,3.062469
25,10000,1.736761,1.429077,3.165864
26,10000,1.672481,1.341066,3.013582
27,10000,1.582615,2.084620,3.667259
28,10000,1.557002,1.695946,3.252971
29,10000,1.503587,1.416795,2.920407
30,10000,1.429269,1.599429,3.028723
31,10000,1.408798,1.432692,2.841514
32,10000,1.366826,1.850066,3.216929
33,10000,1.303174,1.328167,2.631373
34,10000,1.288826,1.275134,2.563993
35,10000,1.251871,1.459965,2.711860
36,10000,1.198546,1.513039,2.711617
37,10000,1.187242,1.388980,2.576253
38,10000,1.154966,1.656030,2.811030
39,10000,1.112037,1.872941,2.985009
40,10000,1.098637,1.467270,2.565942
41,10000,1.071983,1.502214,2.574233
42,10000,1.034758,1.777509,2.812296
43,10000,1.022149,1.213505,2.235684
44,10000,0.999292,1.241711,2.241026
45,10000,0.968954,1.443609,2.412594
46,10000,0.956559,1.511150,2.467744
47,10000,0.937199,1.313765,2.250986
48,10000,0.911263,1.264332,2.175623
49,10000,0.900567,1.269784,2.170382
50,10000,0.882620,1.262540,2.145194
51,10000,0.858887,1.592756,2.451678
52,10000,0.850153,1.331026,2.181202
53,10000,0.832272,1.385742,2.218045
54,10000,0.812830,1.617228,2.430090
55,10000,0.803507,1.456857,2.260389
56,10000,0.791036,1.546406,2.337476
57,10000,0.771986,1.434977,2.206986
58,10000,0.761629,1.347376,2.109023
59,10000,0.751671,1.687645,2.439339
60,10000,0.733182,1.388993,2.122202
61,10000,0.725961,1.341185,2.067181
62,10000,0.713392,1.428052,2.141469
63,10000,0.698943,1.342747,2.041724
64,10000,0.693989,1.548017,2.242046
65,10000,0.682772,1.231280,1.914077
66,10000,0.669943,1.497815,2.167792
67,10000,0.663596,1.390771,2.054390
68,10000,0.653691,1.517837,2.171561
69,10000,0.639406,1.353904,1.993344
70,10000,0.635010,1.649437,2.284476
71,10000,0.625805,1.426560,2.052394
72,10000,0.613285,1.298024,1.911333
73,10000,0.609155,1.910006,2.519188
74,10000,0.601105,1.385182,1.986323
75,10000,0.589743,1.430338,2.020105
76,10000,0.585585,1.733726,2.319344
77,10000,0.577513,1.354532,1.932078
78,10000,0.568470,1.559643,2.128148
79,10000,0.564538,1.621864,2.186435
80,10000,0.556505,2.088283,2.644817
81,10000,0.547555,1.675398,2.222978
82,10000,0.543349,1.728706,2.272089
83,10000,0.536845,1.998808,2.535685
84,10000,0.527099,1.715908,2.243031
85,10000,0.526264,2.175605,2.701901
86,10000,0.518141,1.846913,2.365078
87,10000,0.509118,1.728431,2.237581
88,10000,0.507109,1.579921,2.087053
89,10000,0.502907,2.362037,2.864975
90,10000,0.492805,2.229710,2.722551
91,10000,0.490981,1.901874,2.392877
92,10000,0.485483,1.778266,2.263823
93,10000,0.478459,1.655615,2.134098
94,10000,0.474262,2.550606,3.024895
95,10000,0.471323,0.063685,0.535044
96,10000,0.469003,0.060931,0.529961
97,10000,0.464853,0.032807,0.497685
98,10000,0.459747,0.032859,0.492636
99,10000,0.451651,0.041481,0.493167
100,10000,0.450695,0.032850,0.483578
101,10000,0.446562,1.416937,1.863526
102,10000,0.439510,1.381997,1.821531
103,10000,0.438432,0.079993,0.518466
104,10000,0.435225,1.369113,1.804364
105,10000,0.428153,1.514451,1.942637
106,10000,0.425152,1.591513,2.016690
107,10000,0.422600,1.612774,2.035405
108,10000,0.416831,0.067316,0.484175
109,10000,0.414435,0.034062,0.448521
110,10000,0.411563,0.034271,0.445860
111,10000,0.405381,0.045583,0.450998
112,10000,0.405181,0.033786,0.438999
113,10000,0.402776,0.043710,0.446503
114,10000,0.395386,0.033856,0.429270
115,10000,0.394324,1.560816,1.955173
116,10000,0.390424,1.537231,1.927681
117,10000,0.386223,0.068169,0.454433
118,10000,0.385787,0.036936,0.422747
119,10000,0.381768,0.034651,0.416453
120,10000,0.376559,0.034631,0.411217
121,10000,0.374645,0.049987,0.424665
122,10000,0.372654,0.034280,0.406963
123,10000,0.367679,0.034352,0.402056
124,10000,0.366721,1.620172,1.986921
125,10000,0.364162,1.331073,1.695309
126,10000,0.359605,0.068053,0.427684
127,10000,0.359590,1.456352,1.815969
128,10000,0.695792,1.261114,1.956929
