Workers,Size,Time(s)
1,1000,0.143311
2,1414,0.252766
3,1732,0.211383
4,2000,0.362375
5,2236,0.383885
6,2449,0.340353
7,2646,0.406866
8,2828,0.417502
9,3000,0.385451
10,3162,0.425403
11,3317,0.428003
12,3464,0.414113
13,3606,0.431491
14,3742,0.433884
15,3873,0.422018
16,4000,0.438367
17,4123,0.437467
18,4243,0.430994
19,4359,0.439806
20,4472,0.439862
21,4583,0.431925
22,4690,0.443169
23,4796,0.442924
24,4899,0.436649
25,5000,0.446647
26,5099,0.446988
27,5196,0.438238
28,5292,0.449053
29,5385,0.449618
30,5477,0.441339
31,5568,0.449910
32,5657,0.451875
33,5745,0.444843
34,5831,0.452566
35,5916,0.454437
36,6000,0.450643
37,6083,0.454694
38,6164,0.455037
39,6245,0.451637
40,6325,0.457507
41,6403,0.457509
42,6481,0.452655
43,6557,0.458814
44,6633,0.461883
45,6708,0.456582
46,6782,0.461053
47,6856,0.462539
48,6928,0.459089
49,7000,0.464212
50,7071,0.463327
51,7141,0.461047
52,7211,0.466884
53,7280,0.465728
54,7348,0.462937
55,7416,0.467939
56,7483,0.465049
57,7550,0.464299
58,7616,0.467254
59,7681,0.468381
60,7746,0.465963
61,7810,0.469369
62,7874,0.470631
63,7937,0.467931
64,8000,0.472232
65,8062,0.471941
66,8124,0.469702
67,8185,0.473170
68,8246,0.473308
69,8307,0.472191
70,8367,0.474155
71,8426,0.477163
72,8485,0.475566
73,8544,0.477477
74,8602,0.476910
75,8660,0.475410
76,8718,0.482123
77,8775,0.480555
78,8832,0.478584
79,8888,0.479194
80,8944,0.482759
81,9000,0.480032
82,9055,0.483347
83,9110,0.484321
84,9165,0.482019
85,9220,0.483635
86,9274,0.486875
87,9327,0.484382
88,9381,0.486327
89,9434,0.489327
90,9487,0.485178
91,9539,0.492399
92,9592,0.489499
93,9644,0.492255
94,9695,0.492347
95,9747,0.490128
96,9798,0.492790
97,9849,0.497381
98,9899,0.496596
99,9950,0.495546
100,10000,0.498232
101,10050,0.494052
102,10100,0.495163
103,10149,0.499087
104,10198,0.499230
105,10247,0.496418
106,10296,0.501965
107,10344,0.499880
108,10392,0.499516
109,10440,0.505679
110,10488,0.500390
111,10536,0.500891
112,10583,0.502522
113,10630,0.504520
114,10677,0.501473
115,10724,0.505594
116,10770,0.505613
117,10817,0.503949
118,10863,0.507607
119,10909,0.507015
120,10954,0.505223
121,11000,0.507724
122,11045,0.504078
123,11091,0.504437
124,11136,0.509711
125,11180,0.505319
126,11225,0.505486
127,11269,0.512302
128,11314,0.938958
