Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,13.453150,0.104136,13.557315
2,10000,12.090173,0.066416,12.156634
3,10000,6.680335,0.047893,6.728237
4,10000,8.644759,0.064700,8.709487
5,10000,7.283622,0.046448,7.330107
6,10000,5.461368,0.052394,5.513804
7,10000,5.587453,0.060302,5.647805
8,10000,4.990998,0.058630,5.049650
9,10000,4.099513,0.058687,4.158256
10,10000,4.075452,0.056434,4.132212
11,10000,3.729301,0.056142,3.785930
12,10000,3.274275,0.062380,3.336965
13,10000,3.135418,0.064123,3.199829
14,10000,2.921867,0.063465,2.986638
15,10000,2.654984,0.060468,2.715846
16,10000,2.569833,0.072412,2.642302
17,10000,2.420301,0.065687,2.486057
18,10000,2.271112,0.060946,2.332123
19,10000,2.214275,0.136765,2.351414
20,10000,2.105651,0.071278,2.177015
21,10000,1.963081,0.074041,2.037481
22,10000,1.922106,0.073294,1.996309
23,10000,1.844639,0.079682,1.924729
24,10000,1.735785,0.073514,1.809660
25,10000,1.664709,0.079693,1.744782
26,10000,1.599131,0.083660,1.683096
27,10000,1.515864,0.081677,1.600995
28,10000,1.492992,0.089609,1.583034
29,10000,1.442640,0.081563,1.524607
30,10000,1.369492,0.101120,1.473611
31,10000,1.354906,0.083910,1.439245
34,10000,1.240299,0.101737,1.342105
35,10000,1.205973,0.104832,1.310942
37,10000,1.136840,0.461041,1.598296
38,10000,1.108491,0.102851,1.211758
39,10000,1.064384,0.103844,1.168638
40,10000,1.059304,0.112915,1.172601
41,10000,1.028381,0.099637,1.128136
42,10000,0.993947,0.107232,1.101585
43,10000,0.981921,0.112328,1.094691
44,10000,0.959949,0.496980,1.457365
45,10000,0.930375,0.126456,1.057283
46,10000,0.919429,0.103912,1.026146
47,10000,0.902841,0.110156,1.014243
48,10000,0.875776,0.119615,0.995809
49,10000,0.862069,0.122370,0.984852
50,10000,0.846583,0.111812,0.958851
51,10000,0.822709,0.478750,1.301908
52,10000,0.812104,0.117349,0.930514
53,10000,0.799140,0.490758,1.290395
54,10000,0.778913,0.126965,0.906334
55,10000,0.772312,0.117018,0.892421
56,10000,0.755692,0.117395,0.875033
57,10000,0.739050,0.123244,0.862627
58,10000,0.729178,0.115578,0.845219
59,10000,0.716320,0.514435,1.233968
60,10000,0.704632,0.128818,0.836546
61,10000,0.695005,0.127621,0.825217
62,10000,0.682134,0.136954,0.822446
63,10000,0.671532,0.461942,1.137089
64,10000,0.662068,0.139946,0.802342
65,10000,0.653353,0.507343,1.160877
66,10000,0.638324,0.575183,1.213708
67,10000,0.632438,0.138288,0.770909
68,10000,0.624065,0.524855,1.149169
69,10000,0.612160,0.147554,0.759929
70,10000,0.607903,0.546657,1.154818
71,10000,0.599169,0.135308,0.734686
72,10000,0.587501,0.136060,0.723803
73,10000,0.582564,0.163915,0.746703
74,10000,0.574143,0.546200,1.120581
75,10000,0.562804,0.148292,0.711339
76,10000,0.557444,0.145056,0.702708
77,10000,0.552851,0.561998,1.115099
78,10000,0.541134,0.153383,0.694723
79,10000,0.537027,0.154963,0.692320
80,10000,0.533942,0.148600,0.682843
81,10000,0.521677,0.157114,0.679065
82,10000,0.520242,0.150807,0.671045
83,10000,0.510701,0.161898,0.672936
84,10000,0.503662,0.152122,0.656028
85,10000,0.499316,0.168495,0.668087
86,10000,0.494345,0.571484,1.066114
87,10000,0.486973,0.161842,0.649003
88,10000,0.482232,0.159528,0.642156
89,10000,0.476928,0.157956,0.635229
90,10000,0.470170,0.164962,0.635529
91,10000,0.469971,0.159600,0.629850
92,10000,0.464305,0.189337,0.654090
93,10000,0.455088,0.624716,1.080152
94,10000,0.453449,0.166273,0.620086
95,10000,0.448126,0.175767,0.624218
96,10000,0.442529,0.159129,0.602075
97,10000,0.440352,0.170982,0.611705
98,10000,0.436442,0.168520,0.605236
99,10000,0.428679,0.185959,0.614937
100,10000,0.428831,0.169359,0.598526
101,10000,0.424463,0.588610,1.013409
102,10000,0.416755,0.592613,1.009786
103,10000,0.417388,0.178041,0.595795
104,10000,0.413111,0.170454,0.584029
105,10000,0.407171,0.604043,1.011620
106,10000,0.405542,0.601858,1.007838
107,10000,0.399195,0.178199,0.577943
108,10000,0.395530,0.179656,0.575514
109,10000,0.398692,0.181684,0.580709
110,10000,0.392664,0.593144,0.986623
111,10000,0.386061,0.187347,0.573768
112,10000,0.385399,0.597148,0.982928
113,10000,0.379865,0.207013,0.587327
114,10000,0.381802,0.184885,0.567137
115,10000,0.378205,0.203083,0.581677
116,10000,0.373629,0.219253,0.593437
117,10000,0.369555,0.200817,0.570734
118,10000,0.372088,0.627310,0.999990
119,10000,0.368645,0.199157,0.568141
120,10000,0.365430,0.205510,0.571371
121,10000,0.360235,0.209473,0.570237
122,10000,0.360762,0.223082,0.584373
123,10000,0.356269,0.665176,1.022191
124,10000,0.354469,0.597156,0.952075
125,10000,0.354596,0.187794,0.543017
126,10000,0.349137,0.202670,0.552294
127,10000,0.353041,0.211923,0.565541
128,10000,0.348658,0.618819,0.968257
129,10000,0.344467,1.120285,1.466793
130,10000,0.344142,1.076693,1.424220
131,10000,0.338692,1.099247,1.441713
132,10000,0.340139,1.080898,1.424474
133,10000,0.332307,1.110773,1.447237
134,10000,0.324857,1.042342,1.370985
135,10000,0.324364,1.084558,1.412412
136,10000,0.322984,1.098635,1.425279
137,10000,0.322943,1.102335,1.428774
138,10000,0.318087,1.036724,1.358082
139,10000,0.321689,1.054803,1.381681
140,10000,0.314401,1.035464,1.353286
141,10000,0.314486,1.022648,1.340023
142,10000,0.312019,1.016245,1.332317
143,10000,0.311528,1.013573,1.329006
144,10000,0.307056,1.055702,1.369324
145,10000,0.304416,1.044134,1.351649
146,10000,0.297475,1.018394,1.320065
147,10000,0.298134,1.122260,1.427524
148,10000,0.295520,0.987367,1.289825
149,10000,0.295758,0.981415,1.280928
150,10000,0.296984,1.045048,1.345674
151,10000,0.293888,0.995835,1.293171
152,10000,0.291097,1.010634,1.305151
153,10000,0.288934,0.991054,1.283688
154,10000,0.290502,0.987055,1.281276
155,10000,0.283563,0.982317,1.270088
156,10000,0.283528,0.970533,1.258300
157,10000,0.282266,1.031435,1.317566
158,10000,0.296980,1.381521,1.663442
159,10000,0.279056,0.982851,1.265713
160,10000,0.274810,0.967064,1.248188
161,10000,0.274527,0.960933,1.239774
162,10000,0.275881,0.982043,1.261486
163,10000,0.273697,0.956923,1.236339
164,10000,0.272003,0.958821,1.234692
