Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,13.471757,0.085030,13.556813
2,10000,6.734078,0.039060,6.773166
3,10000,4.494316,0.040219,4.534559
4,10000,3.369587,0.037003,3.406623
5,10000,2.696973,0.037601,2.734599
6,10000,2.243479,0.038088,2.281601
7,10000,1.924373,0.071236,1.995642
8,10000,1.683661,0.057631,1.741318
9,10000,1.497272,0.042061,1.539359
10,10000,1.347954,0.043069,1.391055
11,10000,1.226260,0.043641,1.269937
12,10000,1.123961,0.055983,1.179974
13,10000,1.037322,0.043183,1.080530
14,10000,0.964138,0.067479,1.031642
15,10000,0.899629,0.066588,0.966242
16,10000,0.843566,0.032926,0.876517
17,10000,0.794009,0.032765,0.826798
18,10000,0.749968,0.032980,0.782971
19,10000,0.710804,0.032777,0.743608
20,10000,0.675486,0.033157,0.708667
21,10000,0.643351,0.032659,0.676035
22,10000,0.614408,0.045420,0.659858
23,10000,0.587968,0.033635,0.621628
24,10000,0.563435,0.033713,0.597177
25,10000,0.541468,0.033854,0.575353
26,10000,0.520306,0.033814,0.554144
27,10000,0.501155,0.033616,0.534795
28,10000,0.483496,0.033843,0.517362
29,10000,0.467214,0.033223,0.500462
30,10000,0.451646,0.033518,0.485188
31,10000,0.437130,0.050208,0.487369
32,10000,0.423873,0.034715,0.458612
33,10000,0.411399,0.034023,0.445447
34,10000,0.399392,0.043942,0.443366
35,10000,0.388093,0.034353,0.422489
36,10000,0.377298,0.034350,0.411671
37,10000,0.367311,0.034322,0.401658
38,10000,0.357967,0.034332,0.392324
39,10000,0.348613,0.034904,0.383542
40,10000,0.343806,0.756159,1.099988
41,10000,0.332315,0.034383,0.366732
42,10000,0.324694,0.034336,0.359057
43,10000,0.317036,0.034942,0.352005
44,10000,0.310378,0.034757,0.345167
45,10000,0.303378,0.034751,0.338154
46,10000,0.297253,0.034670,0.331956
47,10000,0.290766,0.034335,0.325125
48,10000,0.284996,0.034878,0.319906
49,10000,0.279459,0.034857,0.314343
50,10000,0.273865,0.047766,0.321664
51,10000,0.268572,0.034645,0.303251
52,10000,0.263730,0.034884,0.298644
53,10000,0.259199,0.034579,0.293808
54,10000,0.254441,0.034754,0.289225
55,10000,0.249738,0.034645,0.284408
56,10000,0.245507,0.034457,0.279994
57,10000,0.241393,0.034880,0.276305
58,10000,0.237529,0.044485,0.282040
59,10000,0.233391,0.035136,0.268552
60,10000,0.229836,0.035099,0.264959
61,10000,0.226144,0.035381,0.261548
62,10000,0.222749,0.035537,0.258309
63,10000,0.219043,0.035277,0.254345
64,10000,0.216153,0.035456,0.251639
65,10000,0.216701,0.035278,0.252013
66,10000,0.216244,0.035065,0.251334
67,10000,0.216070,0.034964,0.251059
68,10000,0.216296,0.035023,0.251352
69,10000,0.216760,0.035245,0.252025
70,10000,0.216600,0.043038,0.259667
71,10000,0.216248,0.035139,0.251413
72,10000,0.216466,0.035567,0.252057
73,10000,0.216551,0.034804,0.251380
74,10000,0.217093,0.034661,0.251777
75,10000,0.219269,0.034623,0.253922
76,10000,0.216934,0.034501,0.251470
77,10000,0.216730,0.034067,0.250831
78,10000,0.217179,0.034524,0.251729
79,10000,0.216706,0.034317,0.251043
80,10000,0.216649,0.034320,0.250994
81,10000,0.217088,0.034121,0.251235
82,10000,0.217120,0.034222,0.251366
83,10000,0.216835,0.187432,0.404291
84,10000,0.217043,0.034200,0.251279
85,10000,0.217069,0.034343,0.251443
86,10000,0.217125,0.034794,0.251950
87,10000,0.217237,0.034110,0.251361
88,10000,0.217340,0.034154,0.251516
89,10000,0.217483,0.033986,0.251494
90,10000,0.217761,0.033741,0.251532
91,10000,0.216992,0.033925,0.250947
92,10000,0.217446,0.033396,0.250866
93,10000,0.217246,0.033752,0.251028
94,10000,0.217443,0.033524,0.250981
95,10000,0.217295,0.063627,0.280956
96,10000,0.217411,0.035082,0.252516
97,10000,0.217509,0.034955,0.252491
98,10000,0.218060,0.034707,0.252802
99,10000,0.217477,0.034859,0.252368
100,10000,0.217817,0.034825,0.252673
101,10000,0.217812,0.035239,0.253075
102,10000,0.217987,0.034639,0.252652
103,10000,0.217625,0.034017,0.251670
104,10000,0.217760,0.034125,0.251911
105,10000,0.217675,0.034293,0.252005
106,10000,0.217884,0.033731,0.251640
107,10000,0.217568,0.033937,0.251535
108,10000,0.217841,0.033901,0.251765
109,10000,0.217876,0.043405,0.261311
110,10000,0.217700,0.034894,0.252625
111,10000,0.217623,0.034959,0.252613
112,10000,0.217916,0.472739,0.690679
113,10000,0.218294,0.034897,0.253219
114,10000,0.218218,0.034914,0.253166
115,10000,0.218180,0.035376,0.253579
116,10000,0.218643,0.034646,0.253303
117,10000,0.218192,0.034659,0.252876
118,10000,0.218456,0.034714,0.253198
119,10000,0.218060,0.034289,0.252379
120,10000,0.218389,0.034485,0.252906
121,10000,0.218551,0.034501,0.253082
122,10000,0.218636,0.042042,0.260708
123,10000,0.218053,0.035306,0.253386
124,10000,0.218402,0.035484,0.253910
125,10000,0.218475,0.035041,0.253541
126,10000,0.218497,0.034851,0.253380
127,10000,0.218506,0.034665,0.253205
128,10000,0.218554,0.034718,0.253296
