Workers,Size,ComputeTime,IOTime,TotalTime
1,1000,0.142452,0.021403,0.163881
2,1414,0.254678,0.023529,0.278220
3,1732,0.209400,0.032024,0.241483
4,2000,0.360367,0.023274,0.383997
5,2236,0.379416,0.010203,0.389655
6,2449,0.338022,0.020389,0.358451
7,2646,0.403880,0.024802,0.428723
8,2828,0.411663,0.020754,0.432439
9,3000,0.379937,0.012669,0.392737
10,3162,0.419492,0.457749,0.877366
11,3317,0.421514,0.285971,0.707585
12,3464,0.406806,0.787704,1.194897
13,3606,0.425455,0.413538,0.839129
14,3742,0.426812,0.295765,0.722865
15,3873,0.415520,0.069978,0.485884
16,4000,0.429203,0.024602,0.453873
17,4123,0.428880,0.050962,0.479945
18,4243,0.422000,0.078237,0.500525
19,4359,0.431443,0.684994,1.116820
20,4472,0.430488,0.147197,0.577796
21,4583,0.423003,0.064427,0.487801
22,4690,0.432762,0.030529,0.463574
23,4796,0.432193,0.062752,0.495227
24,4899,0.425530,0.035695,0.461509
25,5000,0.434693,0.819707,1.254572
26,5099,0.435165,0.139280,0.574773
27,5196,0.427527,0.041010,0.468948
28,5292,0.436470,1.246257,1.683226
29,5385,0.437366,0.219276,0.657041
30,5477,0.428717,0.041208,0.470282
31,5568,0.436983,0.850133,1.287945
32,5657,0.438097,0.233433,0.671685
33,5745,0.430610,0.045719,0.476447
34,5831,0.437831,0.065581,0.503529
35,5916,0.439253,1.320639,1.760182
36,6000,0.434678,1.308415,1.743467
37,6083,0.438115,0.520010,0.958421
38,6164,0.438684,0.049864,0.489208
39,6245,0.433282,0.054147,0.487859
40,6325,0.439232,1.609682,2.049343
41,6403,0.439230,0.291747,0.731396
42,6481,0.434548,0.058736,0.493602
43,6557,0.438850,0.082544,0.521815
44,6633,0.441097,0.079814,0.521334
45,6708,0.436081,0.083605,0.520100
46,6782,0.439231,1.934790,2.374342
47,6856,0.441044,2.013801,2.455171
48,6928,0.436934,0.630079,1.068044
49,7000,0.442169,0.070424,0.512974
50,7071,0.440847,0.066051,0.507349
51,7141,0.439155,0.076905,0.516512
52,7211,0.444466,0.883962,1.328874
53,7280,0.443192,0.094553,0.538201
54,7348,0.442055,0.102735,0.545250
55,7416,0.447516,0.087666,0.535633
56,7483,0.445211,3.442282,3.887907
57,7550,0.445755,3.628485,4.074722
58,7616,0.449686,1.108069,1.558129
59,7681,0.452055,0.099716,0.552325
60,7746,0.450932,2.930227,3.381593
61,7810,0.455149,2.732128,3.187687
62,7874,0.457945,0.776602,1.235013
63,7937,0.456031,3.244739,3.701148
64,8000,0.459287,3.406027,3.865570
65,8062,0.460105,0.701010,1.161408
66,8124,0.455976,0.100982,0.557283
67,8185,0.458125,0.104679,0.563063
68,8246,0.457067,0.109315,0.566667
69,8307,0.455701,0.110757,0.566804
70,8367,0.457466,3.263026,3.720855
71,8426,0.459239,1.643137,2.102787
72,8485,0.456406,0.677763,1.134554
73,8544,0.458424,0.118931,0.577775
74,8602,0.456796,0.115797,0.572942
75,8660,0.454221,0.116013,0.570606
76,8718,0.460259,0.124264,0.584781
77,8775,0.459742,4.025244,4.485304
78,8832,0.457107,1.468943,1.926391
79,8888,0.458682,3.948484,4.407555
80,8944,0.461885,0.771642,1.233478
81,9000,0.458997,0.228257,0.687267
82,9055,0.460403,0.127227,0.587983
83,9110,0.461946,0.785649,1.247866
84,9165,0.458903,0.135673,0.594951
85,9220,0.461064,0.129515,0.590883
86,9274,0.463624,0.134389,0.598402
87,9327,0.460916,4.156020,4.617223
88,9381,0.463091,3.975831,4.439250
89,9434,0.465276,0.918715,1.384336
90,9487,0.462493,0.159245,0.622219
91,9539,0.467597,0.170922,0.638979
92,9592,0.465151,0.151708,0.617293
93,9644,0.467638,4.626597,5.094491
94,9695,0.468340,0.865398,1.334149
95,9747,0.464770,0.171541,0.636640
96,9798,0.466326,0.159885,0.626576
97,9849,0.458051,0.179188,0.637535
