Workers,Size,ComputeTime,IOTime,TotalTime
1,1000,0.135740,0.005024,0.140783
2,1414,0.135202,0.012079,0.147303
3,1732,0.134978,0.004924,0.139923
4,2000,0.135170,0.005159,0.140352
5,2236,0.135158,0.005618,0.140806
6,2449,0.135201,0.006106,0.141333
7,2646,0.135356,0.006672,0.142059
8,2828,0.135219,0.006567,0.141811
9,3000,0.135478,0.007193,0.142696
10,3162,0.135403,0.007266,0.142692
11,3317,0.135385,0.007349,0.142767
12,3464,0.135485,0.008098,0.143595
13,3606,0.135624,0.008370,0.144018
14,3742,0.135760,0.014321,0.150112
15,3873,0.135736,0.009037,0.144816
16,4000,0.135744,0.009440,0.145210
17,4123,0.135738,0.009817,0.145582
18,4243,0.135777,0.010123,0.145925
19,4359,0.135749,0.010149,0.145930
20,4472,0.135838,0.010671,0.146537
21,4583,0.135883,0.010477,0.146384
22,4690,0.136027,0.011413,0.147465
23,4796,0.135989,0.011498,0.147520
24,4899,0.136034,0.011801,0.147861
25,5000,0.136152,0.011941,0.148126
26,5099,0.136117,0.019551,0.155693
27,5196,0.136216,0.012551,0.148792
28,5292,0.136301,0.013187,0.149513
29,5385,0.136239,0.013084,0.149348
30,5477,0.136232,0.013542,0.149799
31,5568,0.136564,0.013796,0.150384
32,5657,0.136621,0.013793,0.150437
33,5745,0.136466,0.014166,0.150659
34,5831,0.136903,0.014346,0.151282
35,5916,0.136822,0.014971,0.151818
36,6000,0.137029,0.015269,0.152324
37,6083,0.137051,0.015435,0.152513
38,6164,0.136968,0.028864,0.165864
39,6245,0.137173,0.016813,0.154012
40,6325,0.137443,0.017388,0.154856
41,6403,0.137289,0.017460,0.154784
42,6481,0.137489,0.017470,0.154994
43,6557,0.137591,0.017784,0.155399
44,6633,0.137738,0.018075,0.155845
45,6708,0.137580,0.018491,0.156100
46,6782,0.137821,0.018819,0.156668
47,6856,0.137995,0.019057,0.157084
48,6928,0.138104,0.019384,0.157520
49,7000,0.137841,0.019755,0.157622
50,7071,0.138347,0.036726,0.175099
51,7141,0.138380,0.021113,0.159556
52,7211,0.138480,0.021405,0.159920
53,7280,0.138409,0.021902,0.160336
54,7348,0.138748,0.022080,0.160861
55,7416,0.138584,0.022237,0.160845
56,7483,0.138717,0.022612,0.161356
57,7550,0.138655,0.022822,0.161503
58,7616,0.138886,0.023063,0.161979
59,7681,0.139048,0.023978,0.163051
60,7746,0.139138,0.023962,0.163134
61,7810,0.138966,0.024455,0.163448
62,7874,0.139070,0.048071,0.187173
63,7937,0.139256,0.024655,0.163943
64,8000,0.139360,0.024845,0.164237
65,8062,0.141675,0.025050,0.166756
66,8124,0.144018,0.025092,0.169141
67,8185,0.146311,0.025536,0.171878
68,8246,0.148557,0.025764,0.174355
69,8307,0.150550,0.025811,0.176394
70,8367,0.152876,0.026523,0.179424
71,8426,0.154920,0.026573,0.181524
72,8485,0.157180,0.026735,0.183942
73,8544,0.159107,0.026872,0.186005
74,8602,0.161722,0.047761,0.209508
75,8660,0.163715,0.028205,0.191952
76,8718,0.165884,0.028122,0.194028
77,8775,0.167669,0.028683,0.196382
78,8832,0.170136,0.028771,0.198948
79,8888,0.172347,0.028998,0.201370
80,8944,0.174512,0.029495,0.204034
81,9000,0.176656,0.029877,0.206560
82,9055,0.178975,0.029828,0.208837
83,9110,0.181766,0.030182,0.211974
84,9165,0.183241,0.030425,0.213696
85,9220,0.185132,0.030918,0.216083
86,9274,0.187665,0.055633,0.243324
87,9327,0.189694,0.033897,0.223617
88,9381,0.191842,0.032303,0.224169
89,9434,0.193627,0.032413,0.226065
90,9487,0.196200,0.033735,0.229959
91,9539,0.198381,0.032735,0.231150
92,9592,0.200423,0.033327,0.233775
93,9644,0.202581,0.033637,0.236252
94,9695,0.204857,0.034114,0.239004
95,9747,0.207149,0.033832,0.241007
96,9798,0.209510,0.033859,0.243402
97,9849,0.211340,0.034001,0.245370
98,9899,0.213522,0.054274,0.267827
99,9950,0.215710,0.035041,0.250777
100,10000,0.217757,0.035443,0.253235
101,10050,0.220363,0.035601,0.256000
102,10100,0.222410,0.036439,0.258874
103,10149,0.224214,0.036030,0.260278
104,10198,0.226615,0.036720,0.263368
105,10247,0.228765,0.037144,0.265942
106,10296,0.230990,0.037221,0.268241
107,10344,0.233331,0.037116,0.270480
108,10392,0.235355,0.037705,0.273084
109,10440,0.237125,0.037823,0.274972
110,10488,0.239718,0.037881,0.277635
111,10536,0.241739,0.052819,0.294582
112,10583,0.243888,0.039707,0.283627
113,10630,0.246079,0.039545,0.285649
114,10677,0.248323,0.040168,0.288524
115,10724,0.250471,0.040689,0.291186
116,10770,0.252546,0.040175,0.292747
117,10817,0.254555,0.040766,0.295346
118,10863,0.257011,0.041288,0.298335
119,10909,0.259096,0.041461,0.300584
120,10954,0.261087,0.041197,0.302320
121,11000,0.263299,0.041917,0.305250
122,11045,0.281279,0.067380,0.348694
123,11091,0.267547,0.042397,0.309968
124,11136,0.270031,0.042657,0.312715
125,11180,0.271866,0.043673,0.315570
126,11225,0.274168,0.043924,0.318123
127,11269,0.276281,0.044078,0.320386
128,11314,0.278467,0.043669,0.322169
