Processes,Size,Latency
2,4,0.15
3,4,0.32
4,4,0.17
5,4,0.32
6,4,0.38
7,4,0.49
8,4,0.77
9,4,1.43
10,4,1.12
11,4,1.01
12,4,1.02
13,4,1.06
14,4,1.03
15,4,0.98
16,4,1.14
17,4,1.93
18,4,1.74
19,4,1.60
20,4,1.43
21,4,1.44
22,4,1.45
23,4,1.37
24,4,1.39
25,4,1.44
26,4,1.34
27,4,1.25
28,4,1.32
29,4,1.31
30,4,1.27
31,4,1.30
32,4,1.58
33,4,2.44
34,4,2.36
35,4,2.18
36,4,2.10
37,4,2.16
38,4,2.14
39,4,2.01
40,4,2.06
41,4,2.01
42,4,1.99
43,4,1.95
44,4,1.95
45,4,2.04
46,4,1.96
47,4,1.99
48,4,2.11
49,4,2.06
50,4,2.05
51,4,2.00
52,4,1.97
53,4,1.98
54,4,1.98
55,4,1.97
56,4,2.02
57,4,1.99
58,4,2.00
59,4,2.05
60,4,2.01
61,4,2.03
62,4,2.04
63,4,2.08
64,4,1.52
65,4,1.36
66,4,1.59
67,4,1.43
68,4,1.82
69,4,1.77
70,4,1.86
71,4,1.78
72,4,2.00
73,4,1.93
74,4,1.95
75,4,2.08
76,4,1.94
77,4,1.99
78,4,2.08
79,4,2.03
80,4,2.14
81,4,2.38
82,4,2.41
83,4,2.38
84,4,2.55
85,4,2.49
86,4,2.71
87,4,2.76
88,4,2.68
89,4,2.78
90,4,2.60
91,4,2.79
92,4,2.66
93,4,3.06
94,4,2.65
95,4,2.83
96,4,2.51
97,4,2.37
98,4,2.61
99,4,2.36
100,4,2.45
101,4,2.56
102,4,2.66
103,4,2.34
104,4,2.59
105,4,2.46
106,4,2.65
107,4,2.57
108,4,2.76
109,4,2.68
110,4,3.00
111,4,2.53
112,4,2.78
113,4,2.88
114,4,2.83
115,4,2.55
116,4,3.08
117,4,2.84
118,4,3.10
119,4,2.54
120,4,3.19
121,4,2.76
122,4,3.10
123,4,2.90
124,4,3.19
125,4,3.07
126,4,3.36
127,4,2.32
128,4,3.81
129,4,2.59
130,4,2.86
131,4,2.54
132,4,3.19
133,4,2.99
134,4,3.00
135,4,2.85
136,4,3.50
137,4,3.53
138,4,3.53
139,4,3.38
140,4,3.51
141,4,3.35
142,4,3.50
143,4,3.12
144,4,3.66
145,4,3.77
146,4,3.66
147,4,3.72
148,4,3.55
149,4,3.68
150,4,3.81
151,4,3.96
152,4,3.92
153,4,3.90
154,4,4.06
155,4,4.19
156,4,4.31
157,4,4.50
158,4,4.84
159,4,5.18
160,4,5.79
161,4,5.85
162,4,6.01
163,4,6.35
164,4,6.85
165,4,7.20
166,4,7.26
167,4,7.55
168,4,13.75
169,4,7.75
170,4,7.63
171,4,7.75
172,4,7.39
173,4,7.74
174,4,7.25
175,4,7.21
176,4,6.14
177,4,6.17
178,4,6.08
179,4,6.37
180,4,6.32
181,4,6.42
182,4,6.76
183,4,6.71
184,4,6.70
185,4,6.84
186,4,7.01
187,4,7.23
188,4,7.20
189,4,7.38
190,4,7.66
191,4,7.82
192,4,7.69
193,4,8.05
194,4,8.27
195,4,8.45
196,4,8.73
197,4,8.87
198,4,9.07
199,4,9.26
200,4,9.58
201,4,9.63
202,4,10.00
203,4,10.00
204,4,10.35
205,4,10.33
206,4,10.56
207,4,10.65
208,4,10.51
209,4,10.76
210,4,10.98
211,4,11.09
212,4,11.42
213,4,11.31
214,4,11.66
215,4,11.62
216,4,11.71
217,4,11.70
218,4,11.85
219,4,11.49
220,4,11.76
221,4,11.44
222,4,11.27
223,4,10.94
224,4,10.69
225,4,10.85
226,4,11.29
227,4,11.49
228,4,11.69
229,4,11.83
230,4,12.08
231,4,12.12
232,4,12.40
233,4,12.58
234,4,12.73
235,4,12.89
236,4,13.23
237,4,13.43
238,4,13.44
239,4,13.63
240,4,13.80
241,4,13.90
242,4,14.25
243,4,14.30
244,4,14.68
245,4,15.11
246,4,15.45
247,4,16.15
248,4,15.92
249,4,16.02
250,4,16.44
251,4,16.68
252,4,17.11
253,4,17.36
254,4,17.89
255,4,18.30
256,4,1.02
