Processes,Size,Latency
2,4,0.13
3,4,0.25
4,4,0.12
5,4,0.26
6,4,0.31
7,4,0.41
8,4,0.92
9,4,1.09
10,4,1.13
11,4,1.18
12,4,1.27
13,4,1.26
14,4,1.41
15,4,1.43
16,4,1.58
17,4,2.01
18,4,1.85
19,4,1.93
20,4,1.98
21,4,2.04
22,4,2.18
23,4,2.24
24,4,2.44
25,4,2.55
26,4,2.41
27,4,2.49
28,4,2.66
29,4,2.67
30,4,2.72
31,4,2.81
32,4,3.13
33,4,3.80
34,4,3.58
35,4,3.63
36,4,3.61
37,4,3.62
38,4,3.76
39,4,3.75
40,4,3.90
41,4,4.08
42,4,3.99
43,4,4.26
44,4,4.44
45,4,4.24
46,4,4.65
47,4,4.69
48,4,4.75
49,4,5.09
50,4,4.87
51,4,5.25
52,4,5.38
53,4,5.40
54,4,5.47
55,4,5.55
56,4,5.57
57,4,5.79
58,4,5.70
59,4,5.98
60,4,6.08
61,4,6.04
62,4,6.68
63,4,6.54
64,4,5.46
65,4,5.86
66,4,6.22
67,4,6.17
68,4,6.75
69,4,6.65
70,4,6.93
71,4,7.19
72,4,7.01
73,4,7.84
74,4,7.64
75,4,8.22
76,4,8.11
77,4,8.35
78,4,9.01
79,4,8.59
80,4,8.80
81,4,8.69
82,4,8.91
83,4,9.40
84,4,9.32
85,4,9.82
86,4,9.78
87,4,9.90
88,4,10.35
89,4,10.18
90,4,11.13
91,4,10.40
92,4,11.23
93,4,11.38
94,4,11.59
95,4,11.48
96,4,11.69
97,4,11.86
98,4,11.61
99,4,11.96
100,4,12.05
101,4,12.48
102,4,12.63
103,4,12.44
104,4,12.76
105,4,13.01
106,4,13.41
107,4,12.75
108,4,13.44
109,4,13.75
110,4,14.12
111,4,13.85
112,4,13.60
113,4,14.23
114,4,14.54
115,4,14.57
116,4,14.87
117,4,15.04
118,4,15.65
119,4,14.25
120,4,14.82
121,4,14.92
122,4,15.20
123,4,14.78
124,4,15.44
125,4,15.78
126,4,15.11
127,4,15.65
128,4,14.74
129,4,14.87
130,4,15.93
131,4,16.14
132,4,16.00
133,4,16.69
134,4,16.87
135,4,17.01
136,4,16.87
137,4,17.79
138,4,18.00
139,4,17.59
140,4,18.50
141,4,18.26
142,4,19.24
143,4,18.41
144,4,18.95
145,4,18.65
146,4,19.60
147,4,19.41
148,4,20.21
149,4,20.47
150,4,21.10
151,4,20.35
152,4,20.69
153,4,20.74
154,4,21.51
155,4,20.90
156,4,22.72
157,4,22.41
158,4,22.75
159,4,21.80
160,4,22.69
161,4,22.31
162,4,23.29
163,4,23.29
164,4,23.52
165,4,23.84
166,4,24.23
167,4,23.96
168,4,24.28
169,4,24.78
170,4,25.12
171,4,25.21
172,4,25.93
173,4,25.90
174,4,25.96
175,4,25.98
176,4,26.34
177,4,26.89
178,4,26.85
179,4,26.91
180,4,27.37
181,4,27.80
182,4,28.11
183,4,28.20
184,4,29.62
185,4,29.07
186,4,29.53
187,4,29.41
188,4,30.33
189,4,30.40
190,4,30.98
191,4,31.90
192,4,30.95
193,4,31.18
194,4,31.10
195,4,30.74
196,4,31.27
197,4,31.25
198,4,32.30
199,4,31.90
200,4,32.04
201,4,32.22
202,4,32.97
203,4,32.52
204,4,33.69
205,4,33.79
206,4,34.19
207,4,33.67
208,4,35.57
209,4,34.50
210,4,34.85
211,4,34.69
212,4,35.80
213,4,35.55
214,4,35.67
215,4,35.51
216,4,36.07
217,4,35.73
218,4,36.70
219,4,36.48
220,4,37.21
221,4,36.81
222,4,37.85
223,4,36.93
224,4,37.59
225,4,37.53
226,4,37.97
227,4,37.11
228,4,38.34
229,4,38.14
230,4,38.78
231,4,37.87
232,4,38.71
233,4,38.49
234,4,39.12
235,4,38.89
236,4,39.21
237,4,40.06
238,4,40.64
239,4,39.69
240,4,39.74
241,4,39.30
242,4,40.31
243,4,39.74
244,4,41.07
245,4,39.54
246,4,40.30
247,4,39.66
248,4,39.99
249,4,40.46
250,4,40.10
251,4,39.45
252,4,40.17
253,4,40.03
254,4,40.01
255,4,38.69
256,4,39.48
