Processes,Size,Latency
2,2,0.14
2,4,0.16
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.14
2,128,0.21
2,256,0.21
2,512,0.22
2,1024,0.26
2,2048,0.30
2,4096,0.38
2,8192,0.56
2,16384,2.26
2,32768,4.12
2,65536,5.68
2,131072,10.09
2,262144,21.28
4,2,0.17
4,4,0.17
4,8,0.17
4,16,0.17
4,32,0.18
4,64,0.17
4,128,0.28
4,256,0.30
4,512,0.31
4,1024,0.37
4,2048,0.48
4,4096,0.68
4,8192,1.07
4,16384,2.77
4,32768,4.78
4,65536,7.68
4,131072,15.99
4,262144,35.19
8,2,0.77
8,4,0.76
8,8,0.81
8,16,0.81
8,32,0.94
8,64,0.79
8,128,1.30
8,256,1.29
8,512,1.33
8,1024,1.49
8,2048,1.87
8,4096,2.91
8,8192,4.84
8,16384,10.81
8,32768,11.64
8,65536,26.02
8,131072,53.95
8,262144,124.08
16,2,1.14
16,4,1.16
16,8,1.14
16,16,1.17
16,32,1.25
16,64,1.24
16,128,1.89
16,256,1.88
16,512,1.97
16,1024,2.26
16,2048,2.90
16,4096,5.43
16,8192,10.12
16,16384,17.70
16,32768,30.58
16,65536,59.75
16,131072,113.28
16,262144,235.82
32,2,1.59
32,4,1.52
32,8,1.55
32,16,1.55
32,32,1.76
32,64,1.72
32,128,2.47
32,256,2.62
32,512,2.77
32,1024,3.27
32,2048,4.28
32,4096,5.81
32,8192,8.85
32,16384,14.63
32,32768,25.43
32,65536,50.43
32,131072,106.15
32,262144,232.87
64,2,1.55
64,4,1.53
64,8,1.51
64,16,1.52
64,32,2.06
64,64,1.99
64,128,2.98
64,256,3.00
64,512,3.09
64,1024,3.58
64,2048,5.30
64,4096,6.87
64,8192,11.03
64,16384,19.63
64,32768,34.73
64,65536,70.51
64,131072,149.86
64,262144,321.78
128,2,3.77
128,4,3.81
128,8,3.67
128,16,3.88
128,32,4.20
128,64,4.20
128,128,6.00
128,256,6.23
128,512,6.22
128,1024,6.68
128,2048,9.97
128,4096,18.76
128,8192,35.20
128,16384,120.07
128,32768,174.44
128,65536,115.82
128,131072,240.80
128,262144,454.54
256,2,1.04
256,4,1.06
256,8,1.03
256,16,1.04
256,32,1.27
256,64,1.29
256,128,2.22
256,256,2.91
256,512,3.47
256,1024,4.45
256,2048,6.31
256,4096,9.37
256,8192,16.03
256,16384,68.25
256,32768,46.88
256,65536,90.31
256,131072,196.72
256,262144,379.80
