Processes,Size,Latency
2,4,0.15
3,4,0.26
4,4,0.14
5,4,0.26
6,4,0.31
7,4,0.48
8,4,0.95
9,4,1.11
10,4,1.10
11,4,1.19
12,4,1.24
13,4,1.28
14,4,1.45
15,4,1.49
16,4,1.69
17,4,2.22
18,4,1.90
19,4,2.13
20,4,2.03
21,4,2.15
22,4,2.21
23,4,2.29
24,4,2.44
25,4,2.49
26,4,2.42
27,4,2.69
28,4,2.74
29,4,2.76
30,4,2.80
31,4,2.86
32,4,3.23
33,4,3.74
34,4,3.56
35,4,3.66
36,4,3.64
37,4,3.67
38,4,3.87
39,4,3.93
40,4,4.09
41,4,4.25
42,4,4.44
43,4,4.32
44,4,4.48
45,4,4.63
46,4,5.10
47,4,5.14
48,4,5.17
49,4,5.16
50,4,5.41
51,4,5.30
52,4,5.97
53,4,5.92
54,4,5.80
55,4,5.98
56,4,6.17
57,4,6.15
58,4,6.23
59,4,6.30
60,4,6.53
61,4,6.44
62,4,6.84
63,4,6.79
64,4,5.48
65,4,6.22
66,4,6.50
67,4,6.47
68,4,7.06
69,4,7.33
70,4,7.15
71,4,7.32
72,4,7.71
73,4,7.99
74,4,7.89
75,4,8.19
76,4,8.38
77,4,8.65
78,4,9.09
79,4,9.02
80,4,9.20
81,4,9.60
82,4,9.78
83,4,9.60
84,4,9.95
85,4,10.14
86,4,10.36
87,4,10.08
88,4,11.40
89,4,10.83
90,4,11.72
91,4,11.38
92,4,11.60
93,4,11.91
94,4,11.85
95,4,11.78
96,4,12.16
97,4,12.10
98,4,12.63
99,4,12.15
100,4,13.13
101,4,13.20
102,4,13.49
103,4,13.88
104,4,13.44
105,4,13.44
106,4,13.84
107,4,13.99
108,4,14.44
109,4,14.55
110,4,15.19
111,4,14.77
112,4,14.61
113,4,15.57
114,4,15.53
115,4,15.22
116,4,15.88
117,4,15.71
118,4,15.57
119,4,15.83
120,4,15.15
121,4,16.20
122,4,16.16
123,4,15.72
124,4,16.31
125,4,16.57
126,4,16.85
127,4,15.84
128,4,15.31
129,4,15.99
130,4,16.39
131,4,17.00
132,4,17.18
133,4,17.23
134,4,18.25
135,4,17.48
136,4,17.71
137,4,18.03
138,4,18.86
139,4,18.15
140,4,19.41
141,4,19.03
142,4,19.87
143,4,19.02
144,4,20.21
145,4,19.47
146,4,20.99
147,4,20.36
148,4,20.65
149,4,20.73
150,4,22.20
151,4,21.21
152,4,22.30
153,4,21.55
154,4,22.40
155,4,21.55
156,4,23.04
157,4,22.50
158,4,23.49
159,4,22.60
160,4,24.03
161,4,22.81
162,4,23.89
163,4,23.38
164,4,24.77
165,4,24.55
166,4,24.63
167,4,24.75
168,4,25.22
169,4,24.98
170,4,25.64
171,4,25.37
172,4,27.01
173,4,26.19
174,4,27.17
175,4,27.02
176,4,27.01
177,4,26.78
178,4,28.09
179,4,27.66
180,4,27.94
181,4,28.48
182,4,28.56
183,4,28.74
184,4,29.15
185,4,29.53
186,4,30.11
187,4,29.89
188,4,30.28
189,4,30.91
190,4,31.45
191,4,31.11
192,4,31.35
193,4,31.33
194,4,32.01
195,4,32.31
196,4,32.03
197,4,32.20
198,4,32.36
199,4,33.37
200,4,32.57
201,4,33.94
202,4,34.00
203,4,33.62
204,4,34.45
205,4,34.22
206,4,34.93
207,4,34.44
208,4,34.57
209,4,35.07
210,4,35.42
211,4,35.50
212,4,35.66
213,4,36.49
214,4,36.35
215,4,35.69
216,4,36.74
217,4,36.37
218,4,37.16
219,4,36.82
220,4,37.65
221,4,37.19
222,4,37.82
223,4,36.83
224,4,37.03
225,4,36.89
226,4,37.41
227,4,37.47
228,4,37.71
229,4,37.89
230,4,38.51
231,4,39.13
232,4,38.94
233,4,38.49
234,4,39.71
235,4,39.39
236,4,39.89
237,4,39.61
238,4,39.56
239,4,39.23
240,4,39.72
241,4,38.84
242,4,39.38
243,4,38.20
244,4,38.98
245,4,38.76
246,4,39.00
247,4,39.09
248,4,39.49
249,4,39.02
250,4,39.60
251,4,38.73
252,4,39.42
253,4,39.29
254,4,39.86
255,4,39.11
256,4,34.25
