Processes,Size,Latency
2,2,0.17
2,4,0.17
2,8,0.16
2,16,0.17
2,32,0.16
2,64,0.17
2,128,0.23
2,256,0.22
2,512,0.25
2,1024,0.28
2,2048,0.33
2,4096,0.44
2,8192,0.69
2,16384,2.65
2,32768,4.73
2,65536,7.57
2,131072,12.65
2,262144,28.25
4,2,0.14
4,4,0.16
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.15
4,128,0.28
4,256,0.31
4,512,0.33
4,1024,0.37
4,2048,0.49
4,4096,0.74
4,8192,1.36
4,16384,2.92
4,32768,5.34
4,65536,9.10
4,131072,17.82
4,262144,43.63
8,2,0.95
8,4,0.98
8,8,0.93
8,16,0.95
8,32,1.07
8,64,1.03
8,128,1.57
8,256,1.73
8,512,1.66
8,1024,1.94
8,2048,2.55
8,4096,3.60
8,8192,5.14
8,16384,6.30
8,32768,9.71
8,65536,14.40
8,131072,50.18
8,262144,140.45
16,2,1.60
16,4,1.59
16,8,1.61
16,16,1.70
16,32,1.84
16,64,1.82
16,128,3.09
16,256,3.28
16,512,3.35
16,1024,4.20
16,2048,5.65
16,4096,8.11
16,8192,11.35
16,16384,10.51
16,32768,19.44
16,65536,33.02
16,131072,94.27
16,262144,168.98
32,2,3.14
32,4,3.08
32,8,3.20
32,16,3.15
32,32,3.47
32,64,3.42
32,128,6.98
32,256,7.26
32,512,7.46
32,1024,8.55
32,2048,12.33
32,4096,17.40
32,8192,24.53
32,16384,24.30
32,32768,30.56
32,65536,101.15
32,131072,112.21
32,262144,235.70
64,2,5.41
64,4,5.27
64,8,5.31
64,16,5.44
64,32,6.04
64,64,6.46
64,128,15.33
64,256,15.84
64,512,15.64
64,1024,18.19
64,2048,27.40
64,4096,36.94
64,8192,62.07
64,16384,57.68
64,32768,80.26
64,65536,112.94
64,131072,140.44
64,262144,396.17
128,2,14.22
128,4,14.86
128,8,15.19
128,16,15.38
128,32,17.26
128,64,16.79
128,128,38.27
128,256,39.51
128,512,39.43
128,1024,41.88
128,2048,66.57
128,4096,89.14
128,8192,143.41
128,16384,121.13
128,32768,157.53
128,65536,173.48
128,131072,215.37
128,262144,1109.27
256,2,38.57
256,4,39.30
256,8,39.00
256,16,38.20
256,32,40.66
256,64,41.27
256,128,82.66
256,256,83.50
256,512,84.54
256,1024,94.08
256,2048,128.35
256,4096,165.88
256,8192,243.61
256,16384,127.96
256,32768,188.88
256,65536,317.96
256,131072,628.76
256,262144,2069.05
