Running osu_latency tests across different core configurations...
Testing Same CCX

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.15
4                       0.15
8                       0.15
16                      0.15
32                      0.15
64                      0.15
128                     0.20
256                     0.20
512                     0.22
1024                    0.26
2048                    0.32
4096                    0.41
8192                    0.58
16384                   1.06
32768                   1.70
65536                   2.98
131072                  5.58
262144                 21.08
524288                 42.89
1048576                81.47
2097152               163.40
4194304               325.80
Testing Same CCD, Different CCX

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.32
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.40
64                      0.40
128                     0.47
256                     0.46
512                     0.50
1024                    0.67
2048                    1.01
4096                    1.44
8192                    2.20
16384                   3.61
32768                   6.40
65536                  11.75
131072                 22.42
262144                 23.71
524288                 58.40
1048576               110.68
2097152               225.15
4194304               443.87
Testing Same NUMA

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.34
4                       0.33
8                       0.33
16                      0.34
32                      0.44
64                      0.44
128                     0.50
256                     0.50
512                     0.53
1024                    0.70
2048                    1.02
4096                    1.51
8192                    2.56
16384                   4.18
32768                   7.36
65536                  12.75
131072                 22.18
262144                 26.33
524288                 61.74
1048576               123.41
2097152               246.62
4194304               485.58
Testing Same SOCKET

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.36
4                       0.35
8                       0.37
16                      0.35
32                      0.48
64                      0.48
128                     0.52
256                     0.54
512                     0.57
1024                    0.76
2048                    1.14
4096                    1.59
8192                    2.63
16384                   4.25
32768                   7.45
65536                  13.58
131072                 22.24
262144                 26.07
524288                 60.81
1048576               120.26
2097152               238.16
4194304               478.07
Testing Different SOCKET

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.42
2                       0.41
4                       0.40
8                       0.41
16                      0.41
32                      0.54
64                      0.54
128                     0.59
256                     0.60
512                     0.64
1024                    0.83
2048                    1.27
4096                    1.74
8192                    2.89
16384                   4.65
32768                   8.15
65536                  15.01
131072                 28.65
262144                 28.15
524288                 64.99
1048576               126.36
2097152               256.57
4194304               507.71
Testing Different NODE

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.78
2                       1.77
4                       1.77
8                       1.77
16                      1.77
32                      1.87
64                      1.94
128                     1.98
256                     2.61
512                     2.76
1024                    3.24
2048                    3.44
4096                    4.29
8192                    4.96
16384                   6.07
32768                   8.04
65536                  11.41
131072                 18.25
262144                 28.15
524288                 50.08
1048576                92.27
2097152               177.27
4194304               347.38
All tests completed.
