Workers,Size,Time(s)
1,1000,0.143713
2,1414,0.256357
3,1732,0.216017
4,2000,0.366626
5,2236,0.381838
6,2449,0.346677
7,2646,0.412543
8,2828,0.418595
9,3000,0.386908
10,3162,0.427521
11,3317,0.429170
12,3464,0.414731
13,3606,0.434853
14,3742,0.436818
15,3873,0.425275
16,4000,0.437039
17,4123,0.437227
18,4243,0.431308
19,4359,0.441744
20,4472,0.441127
21,4583,0.436344
22,4690,0.443410
23,4796,0.444491
24,4899,0.437533
25,5000,0.448330
26,5099,0.448464
27,5196,0.441055
28,5292,0.451008
29,5385,0.451829
30,5477,0.444098
31,5568,0.454100
32,5657,0.455873
33,5745,0.448087
34,5831,0.455259
35,5916,0.457818
36,6000,0.454699
37,6083,0.457577
38,6164,0.459030
39,6245,0.453979
40,6325,0.460551
41,6403,0.460491
42,6481,0.457050
43,6557,0.461112
44,6633,0.464493
45,6708,0.459865
46,6782,0.464366
47,6856,0.467500
48,6928,0.467064
49,7000,0.469406
50,7071,0.468258
51,7141,0.467874
52,7211,0.476232
53,7280,0.473597
54,7348,0.473850
55,7416,0.482208
56,7483,0.479604
57,7550,0.478331
58,7616,0.484407
59,7681,0.486000
60,7746,0.485623
61,7810,0.492446
62,7874,0.495334
63,7937,0.492076
64,8000,0.496332
65,8062,0.494723
66,8124,0.493915
67,8185,0.496469
68,8246,0.495991
69,8307,0.493656
70,8367,0.498561
71,8426,0.498863
72,8485,0.498602
73,8544,0.502202
74,8602,0.499502
75,8660,0.500312
76,8718,0.503979
77,8775,0.504684
78,8832,0.504855
79,8888,0.506497
80,8944,0.510347
81,9000,0.507525
82,9055,0.508218
83,9110,0.513413
84,9165,0.509358
85,9220,0.515385
86,9274,0.517261
87,9327,0.514404
88,9381,0.515837
89,9434,0.519856
90,9487,0.517463
91,9539,0.524095
92,9592,0.522729
93,9644,0.526097
94,9695,0.528124
95,9747,0.522614
96,9798,0.525339
97,9849,0.517741
98,9899,0.511104
99,9950,0.500536
100,10000,0.506211
101,10050,0.502263
102,10100,0.503391
103,10149,0.504731
104,10198,0.508045
105,10247,0.504573
106,10296,0.510208
107,10344,0.508313
108,10392,0.508890
109,10440,0.512389
110,10488,0.510338
111,10536,0.509248
112,10583,0.509095
113,10630,0.512418
114,10677,0.508152
115,10724,0.514466
116,10770,0.513277
117,10817,0.512415
118,10863,0.518176
119,10909,0.520223
120,10954,0.516936
121,11000,0.521754
122,11045,0.514125
123,11091,0.518932
124,11136,0.529634
125,11180,0.528275
126,11225,0.526090
127,11269,0.533192
128,11314,0.526625
129,11358,0.531076
130,11402,0.536059
131,11446,0.531339
132,11489,0.530551
133,11533,0.534630
134,11576,0.530652
135,11619,0.535442
136,11662,0.537030
137,11705,0.536189
138,11747,0.531656
139,11790,0.547667
140,11832,0.528747
141,11874,0.538277
142,11916,0.543300
143,11958,0.533195
144,12000,0.539419
145,12042,0.549136
146,12083,0.545768
147,12124,0.543047
148,12166,0.546519
149,12207,0.553268
150,12247,0.545423
151,12288,0.546043
152,12329,0.551552
153,12369,0.575884
154,12410,0.569061
155,12450,0.567954
156,12490,0.567175
157,12530,0.552704
158,12570,0.545185
159,12610,0.551715
160,12649,0.559326
161,12689,0.597845
162,12728,0.546078
163,12767,0.615609
164,12806,0.549669
165,12845,0.563973
166,12884,0.550302
167,12923,0.565063
168,12961,0.565723
169,13000,0.553542
170,13038,0.611905
171,13077,0.628077
172,13115,0.625200
173,13153,0.635910
174,13191,0.568460
175,13229,0.579123
176,13266,0.560718
177,13304,0.556780
178,13342,0.573261
179,13379,0.678685
180,13416,0.551611
181,13454,0.562751
182,13491,0.690929
183,13528,0.557348
184,13565,0.598224
185,13601,0.590306
186,13638,0.579921
187,13675,0.727170
188,13711,0.614182
189,13748,0.582136
190,13784,0.580251
191,13820,0.560872
192,13856,0.596446
193,13892,0.730812
194,13928,0.590199
195,13964,0.607544
196,14000,0.591448
197,14036,0.611660
198,14071,0.627681
199,14107,0.644777
200,14142,0.614476
201,14177,0.818110
202,14213,0.797875
203,14248,0.597854
204,14283,0.833137
205,14318,0.622298
206,14353,0.638121
207,14387,0.646675
208,14422,0.617757
209,14457,0.652389
210,14491,0.648735
211,14526,0.668560
212,14560,0.604438
213,14595,0.923864
214,14629,0.902425
215,14663,0.891310
216,14697,0.915958
217,14731,0.618009
218,14765,0.654590
219,14799,0.644416
220,14832,0.605808
221,14866,0.628789
222,14900,0.619983
223,14933,0.651492
224,14967,0.712503
225,15000,0.596173
226,15033,0.994937
227,15067,0.990611
228,15100,0.608304
229,15133,1.027587
230,15166,0.624932
231,15199,0.647104
232,15232,0.596217
233,15264,0.595222
234,15297,0.658846
235,15330,0.643405
236,15362,0.640299
237,15395,0.694194
238,15427,0.706607
239,15460,0.619176
240,15492,0.601794
241,15524,0.610282
242,15556,0.606154
243,15588,0.609930
244,15620,0.612820
245,15652,0.619492
246,15684,0.614595
247,15716,0.625029
248,15748,0.627968
249,15780,0.619202
250,15811,0.689857
251,15843,0.679895
252,15875,0.685725
253,15906,0.636553
254,15937,0.909755
255,15969,1.113990
256,16000,0.608476
