Workers,Size,Time(s)
1,1000,0.142991
2,1414,0.256430
3,1732,0.213657
4,2000,0.368616
5,2236,0.388408
6,2449,0.343848
7,2646,0.412407
8,2828,0.418506
9,3000,0.384734
10,3162,0.424528
11,3317,0.427578
12,3464,0.414182
13,3606,0.432348
14,3742,0.438279
15,3873,0.425086
16,4000,0.437341
17,4123,0.436431
18,4243,0.428642
19,4359,0.439016
20,4472,0.439416
21,4583,0.431908
22,4690,0.442115
23,4796,0.441980
24,4899,0.435496
25,5000,0.444924
26,5099,0.445762
27,5196,0.439310
28,5292,0.448699
29,5385,0.449977
30,5477,0.442011
31,5568,0.450305
32,5657,0.451897
33,5745,0.444784
34,5831,0.452241
35,5916,0.454744
36,6000,0.450233
37,6083,0.453618
38,6164,0.454555
39,6245,0.450262
40,6325,0.455879
41,6403,0.456325
42,6481,0.452671
43,6557,0.456502
44,6633,0.459508
45,6708,0.454181
46,6782,0.458037
47,6856,0.460824
48,6928,0.457746
49,7000,0.463283
50,7071,0.462539
51,7141,0.460539
52,7211,0.465446
53,7280,0.463901
54,7348,0.462377
55,7416,0.465203
56,7483,0.462261
57,7550,0.461678
58,7616,0.465086
59,7681,0.465368
60,7746,0.463618
61,7810,0.467063
62,7874,0.468015
63,7937,0.465136
64,8000,0.468988
65,8062,0.469215
66,8124,0.467410
67,8185,0.469783
68,8246,0.469592
69,8307,0.468202
70,8367,0.470567
71,8426,0.473025
72,8485,0.471487
73,8544,0.473910
74,8602,0.472871
75,8660,0.471544
76,8718,0.477670
77,8775,0.475716
78,8832,0.472526
79,8888,0.474929
80,8944,0.476877
81,9000,0.475242
82,9055,0.477561
83,9110,0.480794
84,9165,0.478652
85,9220,0.479375
86,9274,0.482051
87,9327,0.478456
88,9381,0.480053
89,9434,0.482288
90,9487,0.478504
91,9539,0.484905
92,9592,0.483325
93,9644,0.485105
94,9695,0.487213
95,9747,0.483852
96,9798,0.492593
97,9849,0.488286
98,9899,0.491622
99,9950,0.488027
100,10000,0.491993
101,10050,0.490408
102,10100,0.489595
103,10149,0.494763
104,10198,0.494615
105,10247,0.490820
106,10296,0.495177
107,10344,0.494510
108,10392,0.493303
109,10440,0.498060
110,10488,0.493683
111,10536,0.493625
112,10583,0.494159
113,10630,0.495543
114,10677,0.493330
115,10724,0.496586
116,10770,0.498096
117,10817,0.495544
118,10863,0.499798
119,10909,0.499228
120,10954,0.496410
121,11000,0.501019
122,11045,0.495863
123,11091,0.498770
124,11136,0.503642
125,11180,0.498322
126,11225,0.499058
127,11269,0.505467
128,11314,0.933672
