Job Statistics for Job ID 883057:
JobID           JobName  Partition     MaxRSS  MaxVMSize    Elapsed      State 
------------ ---------- ---------- ---------- ---------- ---------- ---------- 
883057             bash       EPYC                         00:17:08    RUNNING 
883057.batch      batch                                    00:17:08    RUNNING 
883057.exte+     extern                                    00:17:08    RUNNING 
883057.0          orted                                    00:00:01  COMPLETED 
883057.1          orted                                    00:00:02  COMPLETED 
883057.2          orted                                    00:00:03  COMPLETED 
883057.3          orted                                    00:00:04  COMPLETED 
883057.4          orted                                    00:00:05  COMPLETED 
883057.5          orted                                    00:00:06  COMPLETED 
883057.6          orted                                    00:00:07  COMPLETED 
883057.7          orted                                    00:00:09  COMPLETED 
883057.8          orted                                    00:00:10  COMPLETED 
883057.9          orted                                    00:00:11  COMPLETED 
883057.10         orted                                    00:00:12  COMPLETED 
883057.11         orted                                    00:00:14  COMPLETED 
883057.12         orted                                    00:00:15  COMPLETED 
883057.13         orted                                    00:00:16  COMPLETED 
883057.14         orted                                    00:00:18  COMPLETED 
883057.15         orted                                    00:00:19  COMPLETED 
883057.16         orted                                    00:00:21  COMPLETED 
883057.17         orted                                    00:00:22  COMPLETED 
883057.18         orted                                    00:00:24  COMPLETED 
883057.19         orted                                    00:00:25  COMPLETED 
883057.20         orted                                    00:00:27  COMPLETED 
883057.21         orted                                    00:00:28  COMPLETED 
883057.22         orted                                    00:00:30  COMPLETED 
883057.23         orted                                    00:00:32  COMPLETED 
883057.24         orted                                    00:00:33  COMPLETED 
883057.25         orted                                    00:00:35  COMPLETED 
883057.26         orted                                    00:00:37  COMPLETED 
883057.27         orted                                    00:00:38  COMPLETED 
883057.28         orted                                    00:00:40  COMPLETED 
883057.29         orted                                    00:00:42  COMPLETED 
883057.30         orted                                    00:00:44  COMPLETED 
883057.31         orted                                    00:00:45  COMPLETED 
883057.32         orted                                    00:00:47  COMPLETED 
883057.33         orted                                    00:00:49  COMPLETED 
883057.34         orted                                    00:00:51  COMPLETED 
883057.35         orted                                    00:00:53  COMPLETED 
883057.36         orted                                    00:00:55  COMPLETED 
883057.37         orted                                    00:00:57  COMPLETED 
883057.38         orted                                    00:00:59  COMPLETED 
883057.39         orted                                    00:01:02  COMPLETED 
883057.40         orted                                    00:01:04  COMPLETED 
883057.41         orted                                    00:01:06  COMPLETED 
883057.42         orted                                    00:01:08  COMPLETED 
883057.43         orted                                    00:01:10  COMPLETED 
883057.44         orted                                    00:01:13  COMPLETED 
883057.45         orted                                    00:01:15  COMPLETED 
883057.46         orted                                    00:01:17  COMPLETED 
883057.47         orted                                    00:01:19  COMPLETED 
883057.48         orted                                    00:01:22  COMPLETED 
883057.49         orted                                    00:01:24  COMPLETED 
883057.50         orted                                    00:01:27  COMPLETED 
883057.51         orted                                    00:01:30  COMPLETED 
883057.52         orted                                    00:01:32  COMPLETED 
883057.53         orted                                    00:01:35  COMPLETED 
883057.54         orted                                    00:01:38  COMPLETED 
883057.55         orted                                    00:01:40  COMPLETED 
883057.56         orted                                    00:01:43  COMPLETED 
883057.57         orted                                    00:01:45  COMPLETED 
