Workers,Size,ComputeTime,IOTime,TotalTime
1,1000,0.142444,0.022452,0.164928
2,1414,0.282535,0.015938,0.298486
3,1732,0.240692,0.007207,0.247948
4,2000,0.388703,0.039915,0.428655
5,2236,0.410350,0.078770,0.489172
6,2449,0.366837,0.054033,0.420918
7,2646,0.435492,0.078546,0.514088
8,2828,0.446615,0.102086,0.548744
9,3000,0.408628,0.129964,0.538629
10,3162,0.439559,0.130553,0.570191
11,3317,0.451252,0.287696,0.738985
12,3464,0.433223,0.181616,0.614865
13,3606,0.456270,0.185247,0.641554
14,3742,0.456284,0.194161,0.650481
15,3873,0.442174,0.223358,0.665569
16,4000,0.457292,0.214421,0.671751
17,4123,0.459166,0.044267,0.503467
18,4243,0.449461,0.240235,0.689743
19,4359,0.461230,0.042036,0.503314
20,4472,0.469037,0.260545,0.729614
21,4583,0.450724,0.275300,0.726077
22,4690,0.463373,0.274052,0.737449
23,4796,0.463360,0.299366,0.762774
24,4899,0.455024,0.323101,0.778172
25,5000,0.462429,0.045682,0.508161
26,5099,0.464518,0.352101,0.816657
27,5196,0.454580,0.368895,0.823508
28,5292,0.466105,0.342496,0.808648
29,5385,0.468502,0.045398,0.513940
30,5477,0.450549,0.013785,0.464372
31,5568,0.467488,0.422597,0.890132
32,5657,0.467016,0.464051,0.931110
33,5745,0.459394,0.494945,0.954373
34,5831,0.468730,0.048304,0.517075
35,5916,0.468221,0.015426,0.483682
36,6000,0.460067,0.487155,0.947255
37,6083,0.468247,0.481407,0.949698
38,6164,0.470476,0.049150,0.519670
39,6245,0.463485,0.016488,0.480008
40,6325,0.466390,0.565347,1.031783
41,6403,0.470833,0.549174,1.020048
42,6481,0.464818,0.528081,0.992935
43,6557,0.467893,0.455183,0.923111
44,6633,0.471660,0.512448,0.984158
45,6708,0.466336,0.571741,1.038119
46,6782,0.469683,0.616868,1.086588
47,6856,0.471933,0.609626,1.081613
48,6928,0.467493,0.815658,1.283190
49,7000,0.471497,0.054153,0.525684
50,7071,0.472039,0.032019,0.504097
51,7141,0.469269,0.700044,1.169348
52,7211,0.464844,0.764885,1.229780
53,7280,0.472765,0.747763,1.220582
54,7348,0.470067,0.834787,1.304888
55,7416,0.473586,0.058301,0.531924
56,7483,0.473717,0.021711,0.495463
57,7550,0.468617,0.022466,0.491116
58,7616,0.469950,0.779182,1.249161
59,7681,0.474406,0.868222,1.342677
60,7746,0.470648,0.881648,1.352330
61,7810,0.469462,0.908107,1.377596
62,7874,0.472633,0.801776,1.274463
63,7937,0.469706,1.036894,1.506627
64,8000,0.474409,1.190553,1.664998
65,8062,0.471062,1.021852,1.492963
66,8124,0.472491,1.016815,1.489342
67,8185,0.476572,0.971374,1.447994
68,8246,0.475243,1.096301,1.571588
69,8307,0.472421,0.086080,0.558535
70,8367,0.476815,0.035887,0.512736
71,8426,0.470675,0.028380,0.499103
72,8485,0.472744,1.088934,1.561713
73,8544,0.474128,1.212851,1.687018
74,8602,0.475120,1.111229,1.586385
75,8660,0.474028,1.173318,1.647397
76,8718,0.473039,1.143757,1.616832
77,8775,0.476361,0.094114,0.570524
78,8832,0.473384,0.029647,0.503065
79,8888,0.475981,0.042583,0.518600
80,8944,0.476407,1.426549,1.902993
81,9000,0.472918,1.359629,1.832593
82,9055,0.476618,1.287492,1.764146
83,9110,0.474648,1.464020,1.938705
84,9165,0.473364,1.442685,1.916086
85,9220,0.475875,0.100275,0.576201
86,9274,0.475118,0.032256,0.507409
87,9327,0.473980,0.055842,0.529855
88,9381,0.478555,1.589006,2.067596
89,9434,0.478119,1.374840,1.853008
90,9487,0.473746,1.370060,1.843842
91,9539,0.477707,1.618820,2.096574
92,9592,0.475151,1.423244,1.898430
93,9644,0.474796,1.469635,1.944460
94,9695,0.478469,1.439172,1.917677
95,9747,0.478957,1.555154,2.034148
96,9798,0.474676,1.641881,2.116602
97,9849,0.465597,2.043338,2.508969
98,9899,0.466774,1.710986,2.177775
99,9950,0.466109,0.085371,0.551527
100,10000,0.470244,0.050954,0.521243
101,10050,0.465297,0.041732,0.507068
102,10100,0.469448,0.041498,0.510994
103,10149,0.469509,1.958063,2.427609
104,10198,0.465565,1.841653,2.307254
105,10247,0.463520,1.799526,2.263086
106,10296,0.458483,1.841561,2.300092
107,10344,0.467929,0.109130,0.577091
108,10392,0.464861,0.038294,0.503204
109,10440,0.465818,0.039089,0.504947
110,10488,0.468495,0.060102,0.528647
111,10536,0.468494,1.840174,2.308734
112,10583,0.469732,1.771844,2.241624
113,10630,0.467346,1.781038,2.248420
114,10677,0.466713,0.114216,0.580975
115,10724,0.463361,1.987102,2.450499
116,10770,0.467856,0.118244,0.586135
117,10817,0.475581,0.042299,0.517943
118,10863,0.471390,0.077692,0.549132
119,10909,0.467942,0.044480,0.512459
120,10954,0.467358,0.044381,0.511791
121,11000,0.469811,0.044620,0.514468
122,11045,0.473124,2.023608,2.496766
123,11091,0.465469,2.132015,2.597530
124,11136,0.468263,2.111055,2.579369
125,11180,0.467344,2.249483,2.716877
126,11225,0.466662,1.879116,2.345813
127,11269,0.465199,2.222282,2.687520
128,11314,0.902876,2.477452,3.380361
