Workers,Size,Time(s)
1,10000,13.962169
2,10000,1.426721
3,10000,0.110823
4,10000,0.067146
5,10000,0.051715
6,10000,0.042377
7,10000,0.036036
8,10000,0.053494
9,10000,0.027764
10,10000,0.024488
11,10000,0.042893
12,10000,0.020373
13,10000,0.018120
14,10000,0.035961
15,10000,0.015727
16,10000,0.014601
17,10000,0.013561
18,10000,0.027731
19,10000,0.011949
20,10000,0.011286
21,10000,0.023555
22,10000,0.010207
23,10000,0.009743
24,10000,0.020192
25,10000,0.008930
26,10000,0.008599
27,10000,0.008253
28,10000,0.017196
29,10000,0.007528
30,10000,0.007306
31,10000,0.012064
32,10000,0.006989
33,10000,0.006629
34,10000,0.006385
35,10000,0.006384
36,10000,0.006000
37,10000,0.010026
38,10000,0.009774
39,10000,0.005543
40,10000,0.005389
41,10000,0.005267
42,10000,0.005135
43,10000,0.005030
44,10000,0.004899
45,10000,0.007852
46,10000,0.004669
47,10000,0.009817
48,10000,0.004474
49,10000,0.004422
50,10000,0.004276
51,10000,0.004216
52,10000,0.004094
53,10000,0.004057
54,10000,0.003961
55,10000,0.008013
56,10000,0.003834
57,10000,0.003770
58,10000,0.007867
59,10000,0.007900
60,10000,0.007076
61,10000,0.003478
62,10000,0.003421
63,10000,0.003391
64,10000,0.003358
65,10000,0.003248
66,10000,0.003220
67,10000,0.005406
68,10000,0.003088
69,10000,0.006649
70,10000,0.002967
71,10000,0.006433
72,10000,0.002899
73,10000,0.002862
74,10000,0.002796
75,10000,0.002781
76,10000,0.006467
77,10000,0.004601
78,10000,0.004532
79,10000,0.006347
80,10000,0.004200
81,10000,0.004173
82,10000,0.004334
83,10000,0.005819
84,10000,0.004415
85,10000,0.004068
86,10000,0.002407
87,10000,0.002393
88,10000,0.003865
89,10000,0.005550
90,10000,0.003937
91,10000,0.002258
92,10000,0.003784
93,10000,0.003798
94,10000,0.003603
95,10000,0.002786
96,10000,0.004706
97,10000,0.004678
98,10000,0.003913
99,10000,0.002109
100,10000,0.004528
101,10000,0.003636
102,10000,0.004987
103,10000,0.003612
104,10000,0.003273
105,10000,0.003671
106,10000,0.004206
107,10000,0.004546
108,10000,0.003612
109,10000,0.004618
110,10000,0.004505
111,10000,0.001880
112,10000,0.003111
113,10000,0.004275
114,10000,0.003352
115,10000,0.001894
116,10000,0.004221
117,10000,0.001807
118,10000,0.001744
119,10000,0.001764
120,10000,0.004040
121,10000,0.002724
122,10000,0.002738
123,10000,0.002828
124,10000,0.002846
125,10000,0.002995
126,10000,0.002000
127,10000,0.002693
128,10000,0.002038
129,10000,0.001639
130,10000,0.001630
131,10000,0.002784
132,10000,0.001567
133,10000,0.001596
134,10000,0.001571
135,10000,0.002759
136,10000,0.002498
137,10000,0.002712
138,10000,0.002486
139,10000,0.003250
140,10000,0.001551
141,10000,0.002383
142,10000,0.002382
143,10000,0.002458
144,10000,0.003144
145,10000,0.002595
146,10000,0.002425
147,10000,0.001648
148,10000,0.002396
149,10000,0.003006
150,10000,0.002356
151,10000,0.003060
152,10000,0.002353
153,10000,0.003101
154,10000,0.001326
155,10000,0.001394
156,10000,0.002305
157,10000,0.002386
158,10000,0.001354
159,10000,0.002147
160,10000,0.002914
161,10000,0.001426
162,10000,0.001279
163,10000,0.002161
164,10000,0.001276
165,10000,0.002741
166,10000,0.002122
167,10000,0.001629
168,10000,0.002674
169,10000,0.001290
170,10000,0.002827
171,10000,0.002028
172,10000,0.001965
173,10000,0.001233
174,10000,0.001967
175,10000,0.001414
176,10000,0.002724
177,10000,0.002845
178,10000,0.002502
179,10000,0.001363
180,10000,0.002504
181,10000,0.001900
182,10000,0.001837
183,10000,0.001875
184,10000,0.001844
185,10000,0.001143
186,10000,0.002673
187,10000,0.001185
188,10000,0.002682
189,10000,0.001825
190,10000,0.001146
191,10000,0.002143
192,10000,0.002425
193,10000,0.001737
194,10000,0.001826
195,10000,0.001507
196,10000,0.001105
197,10000,0.002265
198,10000,0.001822
199,10000,0.001818
200,10000,0.002455
201,10000,0.002349
202,10000,0.001200
203,10000,0.001061
204,10000,0.001258
205,10000,0.002308
206,10000,0.001978
207,10000,0.002435
208,10000,0.002203
209,10000,0.002160
210,10000,0.002153
211,10000,0.001723
212,10000,0.002158
213,10000,0.001582
214,10000,0.001567
215,10000,0.001231
216,10000,0.001556
217,10000,0.001002
218,10000,0.002260
219,10000,0.001636
220,10000,0.001594
221,10000,0.001816
222,10000,0.001586
223,10000,0.001783
224,10000,0.001637
225,10000,0.001841
226,10000,0.001670
227,10000,0.001539
228,10000,0.001095
229,10000,0.001490
230,10000,0.001485
231,10000,0.001592
232,10000,0.001247
233,10000,0.001137
234,10000,0.002135
235,10000,0.001751
236,10000,0.001645
237,10000,0.001109
238,10000,0.000926
239,10000,0.001582
240,10000,0.001531
241,10000,0.001117
242,10000,0.001869
243,10000,0.001882
244,10000,0.000868
245,10000,0.001400
246,10000,0.001270
247,10000,0.000885
248,10000,0.001979
249,10000,0.001832
250,10000,0.001338
251,10000,0.001362
252,10000,0.001770
253,10000,0.001361
254,10000,0.001321
255,10000,0.001420
256,10000,0.001359
