Workers,Size,Time(s)
1,1000,0.143491
2,1414,0.029355
3,1732,0.003383
4,2000,0.002731
5,2236,0.002599
6,2449,0.002615
7,2646,0.002494
8,2828,0.002448
9,3000,0.002472
10,3162,0.002480
11,3317,0.002399
12,3464,0.002404
13,3606,0.002356
14,3742,0.002496
15,3873,0.002326
16,4000,0.002330
17,4123,0.002381
18,4243,0.002300
19,4359,0.002288
20,4472,0.002283
21,4583,0.002328
22,4690,0.002277
23,4796,0.002267
24,4899,0.002259
25,5000,0.002230
26,5099,0.002254
27,5196,0.002237
28,5292,0.002210
29,5385,0.002236
30,5477,0.002215
31,5568,0.002213
32,5657,0.002187
33,5745,0.002202
34,5831,0.002191
35,5916,0.002241
36,6000,0.002185
37,6083,0.002253
38,6164,0.002169
39,6245,0.002178
40,6325,0.002209
41,6403,0.002215
42,6481,0.002337
43,6557,0.002173
44,6633,0.002170
45,6708,0.002173
46,6782,0.002148
47,6856,0.002132
48,6928,0.002172
49,7000,0.002156
50,7071,0.002149
51,7141,0.002132
52,7211,0.002137
53,7280,0.002125
54,7348,0.002154
55,7416,0.002128
56,7483,0.002129
57,7550,0.002138
58,7616,0.002147
59,7681,0.002111
60,7746,0.002141
61,7810,0.002165
62,7874,0.002139
63,7937,0.002119
64,8000,0.002109
65,8062,0.002153
66,8124,0.002127
67,8185,0.002145
68,8246,0.002115
69,8307,0.002150
70,8367,0.002095
71,8426,0.002113
72,8485,0.002101
73,8544,0.002110
74,8602,0.002089
75,8660,0.002101
76,8718,0.002092
77,8775,0.002145
78,8832,0.002130
79,8888,0.002124
80,8944,0.002082
81,9000,0.002153
82,9055,0.002095
83,9110,0.002148
84,9165,0.002077
85,9220,0.002083
86,9274,0.002068
87,9327,0.002118
88,9381,0.002132
89,9434,0.002084
90,9487,0.002088
91,9539,0.002109
92,9592,0.002113
93,9644,0.002091
94,9695,0.002105
95,9747,0.002098
96,9798,0.002158
97,9849,0.002105
98,9899,0.002131
99,9950,0.002094
100,10000,0.002094
101,10050,0.002117
102,10100,0.002098
103,10149,0.002113
104,10198,0.002094
105,10247,0.002080
106,10296,0.002071
107,10344,0.002093
108,10392,0.002089
109,10440,0.002060
110,10488,0.002118
111,10536,0.002057
112,10583,0.002079
113,10630,0.002094
114,10677,0.002105
115,10724,0.002082
116,10770,0.002044
117,10817,0.002090
118,10863,0.002110
119,10909,0.002098
120,10954,0.002108
121,11000,0.002045
122,11045,0.002080
123,11091,0.002068
124,11136,0.002109
125,11180,0.002087
126,11225,0.002105
127,11269,0.002076
128,11314,0.002082
129,11358,0.002102
130,11402,0.002052
131,11446,0.002116
132,11489,0.002107
133,11533,0.002065
134,11576,0.002043
135,11619,0.002073
136,11662,0.002111
137,11705,0.002093
138,11747,0.002082
139,11790,0.002061
140,11832,0.002055
141,11874,0.002076
142,11916,0.002103
143,11958,0.002115
144,12000,0.002048
145,12042,0.002069
146,12083,0.002045
147,12124,0.002119
148,12166,0.002091
149,12207,0.002076
150,12247,0.002054
151,12288,0.002073
152,12329,0.002098
153,12369,0.002065
154,12410,0.002050
155,12450,0.002069
156,12490,0.002108
157,12530,0.002146
158,12570,0.002040
159,12610,0.002030
160,12649,0.002117
161,12689,0.002101
162,12728,0.002053
163,12767,0.002086
164,12806,0.002091
165,12845,0.002042
166,12884,0.002044
167,12923,0.002078
168,12961,0.002086
169,13000,0.002026
170,13038,0.002032
171,13077,0.002065
172,13115,0.002143
173,13153,0.002060
174,13191,0.002052
175,13229,0.002074
176,13266,0.002094
177,13304,0.002075
178,13342,0.002046
179,13379,0.002040
180,13416,0.002042
181,13454,0.002062
182,13491,0.002063
183,13528,0.002038
184,13565,0.002040
185,13601,0.002047
186,13638,0.002102
187,13675,0.002085
188,13711,0.002078
189,13748,0.002083
190,13784,0.002034
191,13820,0.002067
192,13856,0.002041
193,13892,0.002036
194,13928,0.002033
195,13964,0.002045
196,14000,0.002020
197,14036,0.002080
198,14071,0.002078
199,14107,0.002079
200,14142,0.002072
201,14177,0.002058
202,14213,0.002068
203,14248,0.002126
204,14283,0.002064
205,14318,0.002045
206,14353,0.002061
207,14387,0.002070
208,14422,0.002109
209,14457,0.002037
210,14491,0.002058
211,14526,0.002033
212,14560,0.002056
213,14595,0.002078
214,14629,0.002041
215,14663,0.002069
216,14697,0.002090
217,14731,0.002076
218,14765,0.002102
219,14799,0.002064
220,14832,0.002072
221,14866,0.002063
222,14900,0.002078
223,14933,0.002083
224,14967,0.002052
225,15000,0.002063
226,15033,0.002070
227,15067,0.002050
228,15100,0.002095
229,15133,0.002047
230,15166,0.001999
231,15199,0.002095
232,15232,0.002056
233,15264,0.002095
234,15297,0.002081
235,15330,0.002029
236,15362,0.002067
237,15395,0.002065
238,15427,0.002087
239,15460,0.002008
240,15492,0.002074
241,15524,0.002032
242,15556,0.002031
243,15588,0.002064
244,15620,0.002080
245,15652,0.002029
246,15684,0.002027
247,15716,0.002057
248,15748,0.002055
249,15780,0.002080
250,15811,0.001992
251,15843,0.002047
252,15875,0.002014
253,15906,0.002205
254,15937,0.002038
255,15969,0.002041
256,16000,0.002090
