Workers,Size,Time(s)
1,1000,0.143004
2,1414,0.254213
3,1732,0.210130
4,2000,0.361774
5,2236,0.381040
6,2449,0.339899
7,2646,0.408064
8,2828,0.411357
9,3000,0.382351
10,3162,0.420848
11,3317,0.424508
12,3464,0.410992
13,3606,0.427041
14,3742,0.429729
15,3873,0.416997
16,4000,0.432506
17,4123,0.433951
18,4243,0.428170
19,4359,0.433028
20,4472,0.435727
21,4583,0.425530
22,4690,0.437903
23,4796,0.433404
24,4899,0.428706
25,5000,0.436271
26,5099,0.437682
27,5196,0.428924
28,5292,0.436792
29,5385,0.438078
30,5477,0.429622
31,5568,0.437816
32,5657,0.439391
33,5745,0.431147
34,5831,0.438433
35,5916,0.440797
36,6000,0.435572
37,6083,0.439339
38,6164,0.439269
39,6245,0.434501
40,6325,0.439984
41,6403,0.438919
42,6481,0.434540
43,6557,0.439636
44,6633,0.441725
45,6708,0.436169
46,6782,0.439655
47,6856,0.442095
48,6928,0.437142
49,7000,0.442465
50,7071,0.441306
51,7141,0.438160
52,7211,0.443357
53,7280,0.441730
54,7348,0.438874
55,7416,0.442877
56,7483,0.440424
57,7550,0.438714
58,7616,0.441227
59,7681,0.441904
60,7746,0.439503
61,7810,0.442495
62,7874,0.442553
63,7937,0.439735
64,8000,0.442876
65,8062,0.442789
66,8124,0.440702
67,8185,0.442575
68,8246,0.442055
69,8307,0.440468
70,8367,0.442127
71,8426,0.444371
72,8485,0.442207
73,8544,0.444135
74,8602,0.443191
75,8660,0.440939
76,8718,0.446022
77,8775,0.445050
78,8832,0.442506
79,8888,0.443455
80,8944,0.445440
81,9000,0.442657
82,9055,0.444648
83,9110,0.446993
84,9165,0.443209
85,9220,0.445598
86,9274,0.447467
87,9327,0.444408
88,9381,0.445315
89,9434,0.448372
90,9487,0.444545
91,9539,0.449662
92,9592,0.447263
93,9644,0.448460
94,9695,0.447844
95,9747,0.445557
96,9798,0.445805
97,9849,0.445969
98,9899,0.447321
99,9950,0.443679
100,10000,0.447342
101,10050,0.444461
102,10100,0.443978
103,10149,0.446621
104,10198,0.447695
105,10247,0.443949
106,10296,0.447529
107,10344,0.447888
108,10392,0.445113
109,10440,0.450610
110,10488,0.446144
111,10536,0.447068
112,10583,0.447078
113,10630,0.448382
114,10677,0.445506
115,10724,0.448312
116,10770,0.449023
117,10817,0.445943
118,10863,0.449730
119,10909,0.448183
120,10954,0.446070
121,11000,0.450482
122,11045,0.444806
123,11091,0.446952
124,11136,0.451869
125,11180,0.445904
126,11225,0.446296
127,11269,0.451839
128,11314,0.446832
