Workers,Size,Time(s)
1,1000,0.142616
2,1000,0.128671
3,1000,0.071355
4,1000,0.090178
5,1000,0.076430
6,1000,0.057335
7,1000,0.058309
8,1000,0.052122
9,1000,0.042634
10,1000,0.042545
11,1000,0.039033
12,1000,0.034382
13,1000,0.033816
14,1000,0.031317
15,1000,0.028928
16,1000,0.027315
17,1000,0.025939
18,1000,0.023842
19,1000,0.023449
20,1000,0.022444
21,1000,0.020861
22,1000,0.020414
23,1000,0.019575
24,1000,0.019047
25,1000,0.018272
26,1000,0.017917
27,1000,0.016850
28,1000,0.017135
29,1000,0.015797
30,1000,0.015982
31,1000,0.014841
32,1000,0.014382
33,1000,0.014117
34,1000,0.014020
35,1000,0.013158
36,1000,0.013434
37,1000,0.012893
38,1000,0.012889
39,1000,0.012037
40,1000,0.012540
41,1000,0.012100
42,1000,0.012146
43,1000,0.012235
44,1000,0.011333
45,1000,0.010790
46,1000,0.011757
47,1000,0.010448
48,1000,0.010641
49,1000,0.010306
50,1000,0.010561
51,1000,0.009652
52,1000,0.010168
53,1000,0.009743
54,1000,0.009156
55,1000,0.009685
56,1000,0.009110
57,1000,0.009132
58,1000,0.009372
59,1000,0.009510
60,1000,0.008475
61,1000,0.008130
62,1000,0.009290
63,1000,0.008739
64,1000,0.008219
65,1000,0.008420
66,1000,0.008805
67,1000,0.009109
68,1000,0.008514
69,1000,0.007495
70,1000,0.008085
71,1000,0.007173
72,1000,0.007772
73,1000,0.008565
74,1000,0.008362
75,1000,0.018480
76,1000,0.008383
77,1000,0.008619
78,1000,0.008964
79,1000,0.006759
80,1000,0.008334
81,1000,0.007343
82,1000,0.006806
83,1000,0.007368
84,1000,0.007944
85,1000,0.010141
86,1000,0.007790
87,1000,0.006392
88,1000,0.007431
89,1000,0.006065
90,1000,0.007679
91,1000,0.007081
92,1000,0.007153
93,1000,0.007856
94,1000,0.006419
95,1000,0.005769
96,1000,0.006967
97,1000,0.005808
98,1000,0.006823
99,1000,0.007618
100,1000,0.007787
101,1000,0.007537
102,1000,0.007659
103,1000,0.006321
104,1000,0.005300
105,1000,0.005767
106,1000,0.007300
107,1000,0.007391
108,1000,0.007605
109,1000,0.006334
110,1000,0.005975
111,1000,0.008010
112,1000,0.005783
113,1000,0.005334
114,1000,0.006978
115,1000,0.007792
116,1000,0.007689
117,1000,0.006856
118,1000,0.007488
119,1000,0.007586
120,1000,0.007873
121,1000,0.007294
122,1000,0.007690
123,1000,0.006037
124,1000,0.006310
125,1000,0.008165
126,1000,0.007219
127,1000,0.006866
128,1000,0.006493
129,1000,0.008788
130,1000,0.008138
131,1000,0.010152
132,1000,0.007053
133,1000,0.009721
134,1000,0.009615
135,1000,0.011663
136,1000,0.009566
137,1000,0.011846
138,1000,0.012009
139,1000,0.012441
140,1000,0.012517
141,1000,0.013455
142,1000,0.015010
143,1000,0.012784
144,1000,0.015847
145,1000,0.016554
146,1000,0.015975
147,1000,0.016601
148,1000,0.013700
149,1000,0.015922
150,1000,0.013646
151,1000,0.015878
152,1000,0.015917
153,1000,0.013242
154,1000,0.014457
155,1000,0.015599
156,1000,0.015410
157,1000,0.016264
158,1000,0.015120
159,1000,0.016346
160,1000,0.015563
161,1000,0.015455
162,1000,0.014573
163,1000,0.014325
164,1000,0.016360
165,1000,0.015657
166,1000,0.013443
167,1000,0.015442
168,1000,0.016373
169,1000,0.017190
170,1000,0.015494
171,1000,0.016781
172,1000,0.014650
173,1000,0.014111
174,1000,0.015578
175,1000,0.014806
176,1000,0.013978
177,1000,0.015812
178,1000,0.016399
179,1000,0.014313
180,1000,0.016917
181,1000,0.029363
182,1000,0.028081
183,1000,0.019272
184,1000,0.014012
185,1000,0.015866
186,1000,0.015499
187,1000,0.014170
188,1000,0.014739
189,1000,0.016291
190,1000,0.013276
191,1000,0.016243
192,1000,0.013304
193,1000,0.013672
194,1000,0.016395
195,1000,0.013608
196,1000,0.015417
197,1000,0.014643
198,1000,0.013313
199,1000,0.016247
200,1000,0.015208
201,1000,0.015770
202,1000,0.016282
203,1000,0.015471
204,1000,0.016261
205,1000,0.014384
206,1000,0.015476
207,1000,0.013701
208,1000,0.014366
209,1000,0.013115
210,1000,0.014264
211,1000,0.014614
212,1000,0.015963
213,1000,0.014227
214,1000,0.015790
215,1000,0.016767
216,1000,0.014530
217,1000,0.016114
218,1000,0.016000
219,1000,0.015444
220,1000,0.015380
221,1000,0.014713
222,1000,0.013315
223,1000,0.015363
224,1000,0.013481
225,1000,0.014354
226,1000,0.014006
227,1000,0.014180
228,1000,0.012723
229,1000,0.013004
230,1000,0.014173
231,1000,0.013720
232,1000,0.011740
233,1000,0.011593
234,1000,0.013383
235,1000,0.013737
236,1000,0.012757
237,1000,0.014119
238,1000,0.013213
239,1000,0.011704
240,1000,0.011209
241,1000,0.013692
242,1000,0.012969
243,1000,0.014116
244,1000,0.014220
245,1000,0.013293
246,1000,0.012643
247,1000,0.012334
248,1000,0.011325
249,1000,0.011671
250,1000,0.011645
251,1000,0.014716
252,1000,0.013540
253,1000,0.014836
254,1000,0.011249
255,1000,0.011416
256,1000,0.012881
