Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,14.041518,0.102510,14.144057
2,10000,12.589985,11.185493,12.637387
3,10000,6.957320,6.878800,7.001610
4,10000,9.003085,8.998426,9.077391
5,10000,7.587670,7.581031,7.642801
6,10000,5.636214,5.644809,5.695884
7,10000,5.769954,5.784388,5.827508
8,10000,5.155994,5.181619,5.219607
9,10000,4.216626,4.242279,4.275504
10,10000,4.196458,4.223611,4.253144
11,10000,3.841527,3.875831,3.903044
12,10000,3.403239,3.440027,3.464449
13,10000,3.297904,3.349504,3.372525
14,10000,3.096847,3.140321,3.161312
15,10000,2.802561,2.818409,2.859883
16,10000,2.714813,2.758865,2.777096
17,10000,2.527562,2.573211,2.590198
18,10000,2.336151,2.378536,2.394442
19,10000,2.275745,2.337099,2.352334
20,10000,2.164922,2.213614,2.230468
21,10000,2.016254,2.064715,2.078961
22,10000,1.967793,2.020417,2.033498
23,10000,1.888342,1.940973,1.953571
24,10000,1.778406,1.836656,1.848504
25,10000,1.740048,10.038653,10.050293
26,10000,1.686429,2.352581,2.364621
27,10000,1.582013,1.632613,1.643258
28,10000,1.557986,3.957875,3.968868
29,10000,1.506808,1.971476,1.981484
30,10000,1.430480,4.041323,4.050623
31,10000,1.409738,2.201361,2.210575
32,10000,1.366048,3.623110,3.631893
33,10000,1.305336,2.049440,2.058229
34,10000,1.290476,3.755209,3.763641
35,10000,1.256053,3.892636,3.901599
36,10000,1.203822,5.448020,5.457274
37,10000,1.185747,3.664544,3.673248
38,10000,1.155217,2.815183,2.823196
39,10000,1.129087,1.866148,1.873390
40,10000,1.099269,3.732357,3.739696
41,10000,1.073042,3.860236,3.867467
42,10000,1.035028,3.861183,3.867966
43,10000,1.022257,3.866173,3.873043
44,10000,1.000939,3.989111,3.995925
45,10000,0.969348,1.600028,1.607134
46,10000,0.957969,3.766508,3.773149
47,10000,0.939767,1.507598,1.514242
48,10000,0.911762,3.531626,3.537768
49,10000,0.899577,4.751782,4.758005
50,10000,0.882115,3.505936,3.511575
51,10000,0.858124,3.488321,3.494235
52,10000,0.847758,3.952974,3.958922
53,10000,0.834787,3.774316,3.780582
54,10000,0.812077,5.217430,5.223194
55,10000,0.805057,3.982570,3.988139
56,10000,0.787035,3.662181,3.667549
57,10000,0.769966,3.863877,3.869122
58,10000,0.760974,3.749617,3.754718
59,10000,0.748531,4.109093,4.114026
60,10000,0.737073,4.013999,4.018625
61,10000,0.728301,3.304457,3.309773
62,10000,0.712374,3.674138,3.679179
63,10000,0.700602,3.965932,3.970915
64,10000,0.690917,4.601482,4.606768
65,10000,0.709009,4.003644,4.009048
66,10000,0.690835,4.594767,4.599422
67,10000,0.674614,3.923612,3.928602
68,10000,0.670834,4.813659,4.818324
69,10000,0.639432,3.867468,3.871843
70,10000,0.644913,3.652203,3.657016
71,10000,0.626052,4.146554,4.150910
72,10000,0.634343,4.737684,4.742288
73,10000,0.628892,4.044361,4.048768
74,10000,0.598723,4.552636,4.556822
75,10000,0.604929,4.197689,4.201798
76,10000,0.582334,5.049482,5.053763
77,10000,0.606279,4.120704,4.124882
78,10000,0.565573,4.417107,4.421438
79,10000,0.591812,4.102341,4.107801
80,10000,0.566255,4.036268,4.040601
81,10000,0.570848,3.743149,3.747048
82,10000,0.553368,3.666754,3.670739
83,10000,0.550487,4.159111,4.163716
84,10000,0.542951,3.960652,3.964641
85,10000,0.552561,3.972720,3.976608
86,10000,0.524060,4.119458,4.123608
87,10000,0.534705,4.596160,4.600053
88,10000,0.520411,4.215364,4.219128
89,10000,0.515748,4.347382,4.351013
90,10000,0.511045,4.489042,4.492365
91,10000,0.508904,4.266774,4.270687
92,10000,0.507343,3.912446,3.916081
93,10000,0.483639,4.218992,4.222934
94,10000,0.490676,4.080045,4.083367
95,10000,0.478413,5.633698,5.637235
96,10000,0.484529,4.405672,4.409243
97,10000,0.487063,3.972727,3.976635
98,10000,0.473590,4.636237,4.639451
99,10000,0.465686,4.234908,4.238295
100,10000,0.465324,4.900543,4.905735
101,10000,0.468922,4.176054,4.179728
102,10000,0.453975,5.034772,5.038019
103,10000,0.450100,4.137665,4.140830
104,10000,0.446222,1.644332,1.647851
105,10000,0.447040,0.570639,0.573813
106,10000,0.439725,0.551046,0.554716
107,10000,0.442264,0.556504,0.559397
108,10000,0.430335,0.546347,0.549367
109,10000,0.437947,0.550118,0.553621
110,10000,0.443956,0.564323,0.568101
111,10000,0.431289,0.534513,0.537568
112,10000,0.414856,0.526965,0.529922
113,10000,0.417459,0.534272,0.537479
114,10000,0.421480,0.544592,0.547577
115,10000,0.422085,0.537546,0.540991
116,10000,0.395571,0.506112,0.509187
117,10000,0.399072,0.506137,0.509998
118,10000,0.406782,0.517963,0.521089
119,10000,0.406507,0.522026,0.524753
120,10000,0.400695,0.515777,0.519378
121,10000,0.388742,0.500812,0.503674
122,10000,0.397382,0.504598,0.507968
123,10000,0.386592,0.512107,0.515415
124,10000,0.384729,0.494713,0.497594
125,10000,0.381481,0.521554,0.524235
126,10000,0.374419,0.498567,0.501367
127,10000,0.384280,0.493427,0.496508
128,10000,0.400996,0.533310,0.535914
129,10000,0.368893,5.564629,5.567758
130,10000,0.373965,5.393434,5.395848
131,10000,0.369485,5.168073,5.171568
132,10000,0.369228,5.624013,5.626646
133,10000,0.357665,5.080992,5.083499
134,10000,0.365552,6.194711,6.197655
135,10000,0.360764,4.743209,4.745921
136,10000,0.361683,5.127323,5.129818
137,10000,0.358226,4.726122,4.731436
138,10000,0.347184,4.358240,4.360897
139,10000,0.353932,4.408111,4.411134
140,10000,0.346210,4.931350,4.933676
141,10000,0.348584,4.755530,4.758319
142,10000,0.338801,4.674733,4.677270
143,10000,0.347861,4.413340,4.415562
144,10000,0.334063,4.625954,4.628375
145,10000,0.336533,4.753315,4.756017
146,10000,0.330896,5.107868,5.110216
147,10000,0.333135,4.813851,4.816754
148,10000,0.334056,4.398429,4.401624
149,10000,0.325799,4.753532,4.755852
150,10000,0.329251,4.436306,4.438984
151,10000,0.333742,4.054122,4.056504
152,10000,0.317151,5.116164,5.118658
153,10000,0.323396,4.824475,4.826908
154,10000,0.314909,4.799860,4.802099
155,10000,0.307628,5.401906,5.404194
156,10000,0.306020,4.904924,4.907142
157,10000,0.314342,5.250180,5.252022
158,10000,0.313148,4.830690,4.833218
159,10000,0.308810,4.941485,4.944009
160,10000,0.304931,5.288734,5.291920
161,10000,1.890278,6.237915,6.242240
162,10000,0.307399,4.905160,4.907502
163,10000,0.301609,5.457330,5.460003
164,10000,0.298490,4.971169,4.973964
165,10000,0.293259,5.024923,5.027095
166,10000,0.304933,4.974982,4.977384
167,10000,0.294482,5.248623,5.251033
168,10000,0.293927,4.595532,4.597620
169,10000,0.295810,4.411845,4.413951
170,10000,0.290002,5.010451,5.012599
171,10000,0.290733,5.031718,5.034218
172,10000,0.290529,4.094780,4.097066
173,10000,0.286443,4.517126,4.519475
174,10000,0.281251,4.655134,4.657038
175,10000,0.281952,4.706558,4.709018
176,10000,0.288231,4.713394,4.715803
177,10000,0.273397,4.407567,4.409973
178,10000,0.276899,4.108042,4.110717
179,10000,0.276763,4.505288,4.507439
180,10000,0.279359,4.632793,4.634865
181,10000,0.274689,5.975576,5.977721
182,10000,0.277327,5.366754,5.368768
183,10000,0.273862,5.563370,5.565527
184,10000,0.271011,4.995615,4.997546
185,10000,0.270025,4.844621,4.846851
186,10000,0.271225,4.293752,4.295797
187,10000,0.267850,4.551066,4.553123
188,10000,0.266592,4.577981,4.579652
189,10000,0.271653,3.872941,3.874569
190,10000,0.276682,3.900599,3.902687
191,10000,0.269332,3.974013,3.976094
192,10000,0.260600,4.044408,4.046446
193,10000,0.268426,3.516292,3.518792
194,10000,0.267110,3.979383,3.981052
195,10000,0.260447,3.941886,3.943608
196,10000,0.261430,3.688232,3.690217
197,10000,0.266395,3.912206,3.914238
198,10000,0.256763,4.206864,4.208865
199,10000,0.263171,3.943568,3.945637
200,10000,0.261260,3.842169,3.843860
201,10000,0.259034,4.160521,4.163014
202,10000,0.254999,3.782431,3.784191
203,10000,0.245878,4.261285,4.263272
204,10000,0.255153,3.661561,3.663327
205,10000,0.253786,3.558698,3.560505
206,10000,0.246607,3.867703,3.870017
207,10000,0.245436,3.940738,3.942737
208,10000,0.249784,4.370226,4.371911
209,10000,0.250133,4.544166,4.546054
210,10000,0.245717,4.171553,4.173625
211,10000,0.252046,4.439577,4.441284
212,10000,0.239586,4.572554,4.575062
213,10000,0.250945,3.554750,3.556667
214,10000,0.244615,3.431946,3.433722
215,10000,0.248103,4.445616,4.447591
216,10000,0.243519,4.145722,4.147618
217,10000,0.242289,3.461608,3.464406
218,10000,0.239912,4.763491,4.765132
219,10000,0.244967,4.129583,4.131514
220,10000,0.239378,4.158444,4.160600
221,10000,0.236781,4.223052,4.224616
222,10000,0.236840,4.403524,4.405303
223,10000,0.240961,4.722991,4.724687
224,10000,0.234165,4.528984,4.530770
225,10000,0.234645,4.145876,4.147752
226,10000,0.234183,4.689791,4.691895
227,10000,0.229895,3.379390,3.381316
228,10000,0.230237,4.520217,4.521847
229,10000,0.226504,4.407377,4.409630
230,10000,0.226125,5.127937,5.129916
231,10000,0.227938,4.444778,4.446668
232,10000,0.233860,4.285992,4.287570
233,10000,0.230301,4.343173,4.344987
234,10000,0.228764,4.631163,4.633012
235,10000,0.224296,4.796718,4.798161
236,10000,0.223730,4.103372,4.104863
237,10000,0.225340,5.169016,5.170576
238,10000,0.219457,6.607209,6.608582
239,10000,0.222203,4.879127,4.881005
240,10000,0.218916,4.749162,4.750632
241,10000,0.213348,5.118660,5.121658
242,10000,0.218686,5.340606,5.342217
243,10000,0.219333,4.561205,4.563462
244,10000,0.222808,4.882700,4.883943
245,10000,0.221893,5.743629,5.745362
246,10000,0.212996,6.170620,6.172088
247,10000,0.210321,5.048416,5.049667
248,10000,0.210101,4.833969,4.835924
249,10000,0.212206,5.306695,5.308165
250,10000,0.211900,5.317065,5.319094
251,10000,0.215511,5.218396,5.220234
