Workers,Size,ComputeTime,IOTime,TotalTime
1,10000,14.235231,8.510297,22.745555
2,10000,12.727575,1.853651,14.581253
3,10000,7.062504,1.741610,8.804151
4,10000,9.102029,1.891934,10.993997
5,10000,7.655870,1.842184,9.498090
6,10000,5.671272,1.577614,7.248921
7,10000,5.784782,1.803801,7.588625
8,10000,5.177946,1.732340,6.910314
9,10000,4.223709,1.741701,5.965439
10,10000,4.212522,2.055308,6.267867
11,10000,3.848333,1.537754,5.386112
12,10000,3.405263,1.374663,4.779955
13,10000,3.296006,1.722145,5.018185
14,10000,3.079293,1.441313,4.520636
15,10000,2.770236,2.051167,4.821440
16,10000,2.697087,1.598120,4.295244
17,10000,2.548124,1.499252,4.047419
18,10000,2.351358,1.539135,3.890520
19,10000,2.269856,1.808513,4.078399
20,10000,2.159503,1.322393,3.481930
21,10000,2.016069,1.454372,3.470469
22,10000,1.967618,1.400333,3.367980
23,10000,1.883952,1.957555,3.841541
24,10000,1.772888,1.762252,3.535165
25,10000,1.740418,1.383687,3.124139
26,10000,1.675676,1.661850,3.337558
27,10000,1.585829,1.748422,3.334285
28,10000,1.560376,1.553318,3.113720
29,10000,1.506630,1.772660,3.279316
30,10000,1.433508,1.526443,2.959984
31,10000,1.411664,1.399773,2.811477
32,10000,1.370320,2.149399,3.519758
33,10000,1.306175,1.403146,2.709351
34,10000,1.292219,1.499997,2.792247
35,10000,1.255018,1.464007,2.719059
36,10000,1.201450,1.485471,2.686949
37,10000,1.187690,1.593743,2.781459
38,10000,1.155619,1.647088,2.802735
39,10000,1.112795,1.444255,2.557077
40,10000,1.098687,1.485624,2.584348
41,10000,1.071931,1.459966,2.531925
42,10000,1.035175,1.772956,2.808161
43,10000,1.022244,1.608975,2.631254
44,10000,0.999149,1.460566,2.459739
45,10000,0.968976,0.077398,1.046410
46,10000,0.956154,1.487855,2.444043
47,10000,0.937075,1.402742,2.339850
48,10000,0.911269,1.518144,2.429492
49,10000,0.900833,0.077816,0.978674
50,10000,0.882805,1.533458,2.416299
51,10000,0.859211,1.419140,2.278386
52,10000,0.850463,1.505411,2.355902
53,10000,0.832599,1.566233,2.398865
54,10000,0.813211,1.547179,2.360418
55,10000,0.802886,0.077612,0.880530
56,10000,0.791209,1.376782,2.168019
57,10000,0.771841,1.596419,2.368287
58,10000,0.761225,1.535226,2.296480
59,10000,0.751274,1.432192,2.183485
60,10000,0.733247,1.388251,2.121530
61,10000,0.725709,1.425873,2.151615
62,10000,0.713241,1.631295,2.344563
63,10000,0.698899,1.524562,2.223489
64,10000,0.693999,1.432996,2.127026
65,10000,0.681291,1.857760,2.539077
66,10000,0.668492,1.697615,2.366133
67,10000,0.662849,1.701166,2.364067
68,10000,0.652442,1.585483,2.237951
69,10000,0.638681,1.587041,2.225754
70,10000,0.633856,1.457475,2.091369
71,10000,0.624996,1.595926,2.220951
72,10000,0.612504,1.625610,2.238145
73,10000,0.608987,1.576896,2.185920
74,10000,0.601485,1.692275,2.293786
75,10000,0.590138,1.793636,2.383811
76,10000,0.585473,1.450933,2.036434
77,10000,0.577628,1.343485,1.921142
78,10000,0.568287,1.425236,1.993561
79,10000,0.565116,1.429891,1.995039
80,10000,0.557977,1.305311,1.863317
81,10000,0.547822,1.453713,2.001577
82,10000,0.543706,1.637545,2.181276
83,10000,0.538087,1.516435,2.054560
84,10000,0.528227,1.388637,1.916906
85,10000,0.526906,1.435560,1.962491
86,10000,0.517731,1.592694,2.110454
87,10000,0.510248,1.548892,2.059171
88,10000,0.508482,1.407126,1.915635
89,10000,0.504277,1.405058,1.909374
90,10000,0.494823,0.082565,0.577433
91,10000,0.492244,1.567408,2.059680
92,10000,0.487868,1.626398,2.114294
93,10000,0.480350,1.486575,1.966962
94,10000,0.476702,1.364194,1.840934
95,10000,0.472803,1.721054,2.193891
96,10000,0.467746,1.362612,1.830392
97,10000,0.466834,0.076335,0.543195
98,10000,0.461716,1.458481,1.920225
99,10000,0.454732,1.688409,2.143168
100,10000,0.453528,1.601395,2.054938
101,10000,0.448895,1.579904,2.028829
102,10000,0.441152,0.076935,0.518123
103,10000,0.438036,1.577651,2.015714
104,10000,0.436673,1.708940,2.145650
105,10000,0.428471,1.453854,1.882364
106,10000,0.425772,1.645710,2.071509
107,10000,0.423397,1.449840,1.873266
108,10000,0.417213,1.431338,1.848583
109,10000,0.415920,1.572053,1.988000
110,10000,0.412384,1.438289,1.850702
111,10000,0.405924,1.522677,1.928628
112,10000,0.405656,1.383373,1.789056
113,10000,0.404009,1.654413,2.058448
114,10000,0.395675,1.424841,1.820544
115,10000,0.395189,1.376638,1.771854
116,10000,0.391284,0.083947,0.475265
117,10000,0.386977,1.638745,2.025749
118,10000,0.386392,1.603717,1.990137
119,10000,0.382401,1.479677,1.862107
120,10000,0.377016,1.713835,2.090870
121,10000,0.375209,0.127994,0.503230
122,10000,0.372858,1.731757,2.104653
123,10000,0.368615,1.360959,1.729609
124,10000,0.367102,1.500981,1.868111
125,10000,0.364446,1.632440,1.996919
126,10000,0.359993,0.077411,0.437439
127,10000,0.359954,1.679636,2.039626
128,10000,0.695608,1.419094,2.114730
