Workers,Size,Time(s)
1,1000,0.140771
2,1000,0.086106
3,1000,0.067940
4,1000,0.057589
5,1000,0.048884
6,1000,0.041820
7,1000,0.038836
8,1000,0.035228
9,1000,0.032346
10,1000,0.029231
11,1000,0.027514
12,1000,0.024924
13,1000,0.023217
14,1000,0.021979
15,1000,0.020677
16,1000,0.020414
17,1000,0.018433
18,1000,0.017817
19,1000,0.016958
20,1000,0.016223
21,1000,0.015592
22,1000,0.015031
23,1000,0.014469
24,1000,0.013877
25,1000,0.013773
26,1000,0.013247
27,1000,0.012893
28,1000,0.012526
29,1000,0.012876
30,1000,0.011942
31,1000,0.012847
32,1000,0.011518
33,1000,0.012116
34,1000,0.011099
35,1000,0.011754
36,1000,0.010788
37,1000,0.010631
38,1000,0.010334
39,1000,0.009957
40,1000,0.009903
41,1000,0.009950
42,1000,0.009866
43,1000,0.009758
44,1000,0.010329
45,1000,0.009643
46,1000,0.009514
47,1000,0.009472
48,1000,0.009039
49,1000,0.009053
50,1000,0.008947
51,1000,0.008837
52,1000,0.008910
53,1000,0.009089
54,1000,0.008773
55,1000,0.008647
56,1000,0.008876
57,1000,0.008776
58,1000,0.008741
59,1000,0.008693
60,1000,0.008683
61,1000,0.008651
62,1000,0.008752
63,1000,0.008765
64,1000,0.008516
65,1000,0.009293
66,1000,0.009188
67,1000,0.009251
68,1000,0.009966
69,1000,0.010070
70,1000,0.010170
71,1000,0.009753
72,1000,0.010226
73,1000,0.010105
74,1000,0.010267
75,1000,0.010460
76,1000,0.010911
77,1000,0.010338
78,1000,0.010291
79,1000,0.010460
80,1000,0.010609
81,1000,0.010387
82,1000,0.010486
83,1000,0.010476
84,1000,0.010475
85,1000,0.010692
86,1000,0.010601
87,1000,0.010226
88,1000,0.010983
89,1000,0.010678
90,1000,0.010947
91,1000,0.011278
92,1000,0.010945
93,1000,0.011714
94,1000,0.010561
95,1000,0.011525
96,1000,0.011342
97,1000,0.011102
98,1000,0.011275
99,1000,0.010771
100,1000,0.011367
101,1000,0.011495
102,1000,0.011074
103,1000,0.011429
104,1000,0.011430
105,1000,0.011872
106,1000,0.011888
107,1000,0.011312
108,1000,0.011083
109,1000,0.011488
110,1000,0.011545
111,1000,0.011444
112,1000,0.011352
113,1000,0.011549
114,1000,0.012846
115,1000,0.011979
116,1000,0.011773
117,1000,0.011956
118,1000,0.011807
119,1000,0.012186
120,1000,0.011834
121,1000,0.012226
122,1000,0.011760
123,1000,0.011730
124,1000,0.011718
125,1000,0.011998
126,1000,0.012339
127,1000,0.011769
128,1000,0.012060
