Workers,Size,Time(s)
1,5000,3.498093
2,5000,3.172390
3,5000,1.766117
4,5000,2.278500
5,5000,1.924139
6,5000,1.438450
7,5000,1.470127
8,5000,1.318590
9,5000,1.081758
10,5000,1.077684
11,5000,0.985733
12,5000,0.874544
13,5000,0.845924
14,5000,0.788697
15,5000,0.710389
16,5000,0.697952
17,5000,0.660861
18,5000,0.616248
19,5000,0.597327
20,5000,0.566046
21,5000,0.534712
22,5000,0.519490
23,5000,0.500146
24,5000,0.472777
25,5000,0.461608
26,5000,0.446998
27,5000,0.425270
28,5000,0.409656
29,5000,0.405771
30,5000,0.388942
31,5000,0.380031
32,5000,0.367642
33,5000,0.353247
34,5000,0.352119
35,5000,0.340803
36,5000,0.326685
37,5000,0.326404
38,5000,0.317975
39,5000,0.307618
40,5000,0.304959
41,5000,0.297555
42,5000,0.287158
43,5000,0.276269
44,5000,0.279039
45,5000,0.271608
46,5000,0.268810
47,5000,0.263659
48,5000,0.258559
49,5000,0.256341
50,5000,0.251288
51,5000,0.242705
52,5000,0.240955
53,5000,0.236155
54,5000,0.231310
55,5000,0.232056
56,5000,0.226042
57,5000,0.223773
58,5000,0.220386
59,5000,0.219086
60,5000,0.213499
61,5000,0.212460
62,5000,0.204116
63,5000,0.202193
64,5000,0.203560
65,5000,0.200809
66,5000,0.197151
67,5000,0.195164
68,5000,0.192939
69,5000,0.189593
70,5000,0.189026
71,5000,0.184510
72,5000,0.178973
73,5000,0.183677
74,5000,0.180252
75,5000,0.179576
76,5000,0.178869
77,5000,0.175840
78,5000,0.170918
79,5000,0.174146
80,5000,0.167807
81,5000,0.167827
82,5000,0.166084
83,5000,0.163979
84,5000,0.163100
85,5000,0.162593
86,5000,0.158924
87,5000,0.158521
88,5000,0.158799
89,5000,0.158083
90,5000,0.153005
91,5000,0.154498
92,5000,0.153681
93,5000,0.152946
94,5000,0.151820
95,5000,0.146507
96,5000,0.149560
97,5000,0.144571
98,5000,0.145331
99,5000,0.142902
100,5000,0.144015
101,5000,0.140813
102,5000,0.141085
103,5000,0.141206
104,5000,0.139190
105,5000,0.138502
106,5000,0.135971
107,5000,0.136582
108,5000,0.134661
109,5000,0.136797
110,5000,0.132623
111,5000,0.134620
112,5000,0.128839
113,5000,0.127406
114,5000,0.130575
115,5000,0.127476
116,5000,0.122408
117,5000,0.130211
118,5000,0.125558
119,5000,0.127530
120,5000,0.127962
121,5000,0.126008
122,5000,0.118129
123,5000,0.123374
124,5000,0.126115
125,5000,0.123967
126,5000,0.123288
127,5000,0.120619
128,5000,0.123170
