Workers,Size,Time(s)
1,1000,0.150293
2,1000,0.109705
3,1000,0.086167
4,1000,0.066665
5,1000,0.203046
6,1000,0.061339
7,1000,0.088120
8,1000,0.067929
9,1000,0.062740
10,1000,0.229457
11,1000,0.056784
12,1000,0.042427
13,1000,0.032669
14,1000,0.036465
15,1000,0.060307
16,1000,0.055047
17,1000,0.045748
18,1000,0.313534
19,1000,0.025405
20,1000,0.024232
21,1000,0.023036
22,1000,0.039498
23,1000,0.042387
24,1000,0.022738
25,1000,0.028384
26,1000,0.307078
27,1000,0.021373
28,1000,0.040137
29,1000,0.061178
30,1000,0.022234
31,1000,0.329509
32,1000,0.026018
33,1000,0.027454
34,1000,0.048528
35,1000,0.026146
36,1000,0.301720
37,1000,0.021226
38,1000,0.026108
39,1000,0.022791
40,1000,0.052973
41,1000,0.018834
42,1000,0.029606
43,1000,0.025761
44,1000,0.017916
45,1000,0.051928
46,1000,0.054666
47,1000,0.034432
48,1000,0.018223
49,1000,0.034721
50,1000,0.303032
51,1000,0.017394
52,1000,0.039226
53,1000,0.035481
54,1000,0.021169
55,1000,0.017147
56,1000,0.044052
57,1000,0.019903
58,1000,0.337205
59,1000,0.035956
60,1000,0.017003
61,1000,0.038343
62,1000,0.044263
63,1000,0.331603
64,1000,0.022115
65,1000,0.046047
66,1000,0.016987
67,1000,0.049845
68,1000,0.016738
69,1000,0.016940
70,1000,0.024405
71,1000,0.024264
72,1000,0.052690
73,1000,0.037659
74,1000,0.043432
75,1000,0.034688
76,1000,0.019765
77,1000,0.321591
78,1000,0.016599
79,1000,0.051575
80,1000,0.114093
81,1000,0.025778
82,1000,0.017101
83,1000,0.018160
84,1000,0.036695
85,1000,0.017221
86,1000,0.037261
87,1000,0.044352
88,1000,0.017406
89,1000,0.051510
90,1000,0.019348
91,1000,0.320810
92,1000,0.043884
93,1000,0.022596
94,1000,0.026528
95,1000,0.053033
96,1000,0.045469
97,1000,0.019301
98,1000,0.022229
99,1000,0.309489
100,1000,0.048947
101,1000,0.360626
102,1000,0.025148
103,1000,0.037772
104,1000,0.075518
105,1000,0.033344
106,1000,0.297302
107,1000,0.020420
108,1000,0.023292
109,1000,0.022710
110,1000,0.045630
111,1000,0.338866
112,1000,0.026033
113,1000,0.047181
114,1000,0.031602
115,1000,0.056891
116,1000,0.066884
117,1000,0.022873
118,1000,0.042423
119,1000,0.021851
120,1000,0.023226
121,1000,0.038230
122,1000,0.036524
123,1000,0.115916
124,1000,0.023505
125,1000,0.045773
126,1000,0.037704
127,1000,0.044575
128,1000,0.021560
