Workers,Size,Time(s)
1,1000,0.422210
2,1000,0.269276
3,1000,0.425363
4,1000,0.244846
5,1000,0.082357
6,1000,0.235211
7,1000,0.079988
8,1000,0.636606
9,1000,0.092775
10,1000,0.064327
11,1000,0.192468
12,1000,0.231165
13,1000,0.666320
14,1000,0.148534
15,1000,0.453315
16,1000,0.099630
17,1000,0.205187
18,1000,0.128028
19,1000,0.096051
20,1000,0.069806
21,1000,0.450393
22,1000,0.129918
23,1000,0.061800
24,1000,0.435927
25,1000,0.147785
26,1000,0.410252
27,1000,0.078454
28,1000,0.159883
29,1000,0.214499
30,1000,0.030374
31,1000,0.115961
32,1000,0.340506
33,1000,0.120382
34,1000,0.096357
35,1000,0.141054
36,1000,0.021571
37,1000,0.175249
38,1000,0.357311
39,1000,0.093431
40,1000,0.057134
41,1000,0.199359
42,1000,0.021424
43,1000,0.176043
44,1000,0.137679
45,1000,0.049714
46,1000,0.039362
47,1000,0.471234
48,1000,0.060395
49,1000,0.025398
50,1000,0.339536
51,1000,0.024329
52,1000,0.065845
53,1000,0.268706
54,1000,0.023236
55,1000,0.063873
56,1000,0.404111
57,1000,0.098955
58,1000,0.016598
59,1000,0.245007
60,1000,0.115870
61,1000,0.042343
62,1000,0.145502
63,1000,0.083940
64,1000,0.506344
65,1000,0.206447
66,1000,0.087852
67,1000,0.277954
68,1000,0.047478
69,1000,0.028710
70,1000,0.255625
71,1000,0.200944
72,1000,0.030325
73,1000,0.089409
74,1000,0.056927
75,1000,0.020638
76,1000,0.368186
77,1000,0.031049
78,1000,0.088113
79,1000,0.380905
80,1000,0.069017
81,1000,0.018009
82,1000,0.379746
83,1000,0.130198
84,1000,0.061162
85,1000,0.183301
86,1000,0.035265
87,1000,0.098590
88,1000,0.498914
89,1000,0.059927
90,1000,0.457651
91,1000,0.094968
92,1000,0.045192
93,1000,0.388611
94,1000,0.036539
95,1000,0.547235
96,1000,0.111168
97,1000,0.012883
98,1000,0.297782
99,1000,0.088950
100,1000,0.048121
101,1000,0.288916
102,1000,0.122427
103,1000,0.015728
104,1000,0.308158
105,1000,0.218777
106,1000,0.036216
107,1000,0.135043
108,1000,0.068196
109,1000,0.079621
110,1000,0.289284
111,1000,0.016373
112,1000,0.051041
113,1000,0.331041
114,1000,0.050718
115,1000,0.118427
116,1000,0.233952
117,1000,0.032726
118,1000,0.045729
119,1000,0.333477
120,1000,0.152089
121,1000,0.065264
122,1000,0.281169
123,1000,0.080418
124,1000,0.148446
125,1000,0.141300
126,1000,0.025662
127,1000,0.156313
128,1000,0.188000
