Workers,Size,ComputeTime,IOTime,TotalTime
1,1000,0.142104,0.031445,0.173574
2,1414,0.252604,0.227972,0.257403
3,1732,0.209595,0.213081,0.216895
4,2000,0.360511,0.364581,0.367825
5,2236,0.379468,0.395125,0.398262
6,2449,0.338571,0.350983,0.354095
7,2646,0.404564,0.427596,0.430781
8,2828,0.416656,0.432455,0.435533
9,3000,0.379421,0.398784,0.401941
10,3162,0.419526,0.437599,0.441012
11,3317,0.421444,0.438042,0.441120
12,3464,0.420693,0.440464,0.443917
13,3606,0.425409,0.449664,0.452720
14,3742,0.426340,0.448720,0.451795
15,3873,0.415006,0.481822,0.485014
16,4000,0.429080,0.465531,0.468481
17,4123,0.428965,0.488945,0.492323
18,4243,0.421773,0.449313,0.452739
19,4359,0.430932,0.461622,0.464814
20,4472,0.443514,0.471271,0.474350
21,4583,0.423176,0.448055,0.451206
22,4690,0.433015,0.460942,0.463945
23,4796,0.432397,0.455530,0.458766
24,4899,0.445895,0.470438,0.473655
25,5000,0.435220,0.464444,0.467722
26,5099,0.449703,0.488669,0.491694
27,5196,0.440478,0.491510,0.495173
28,5292,0.437006,0.477193,0.480453
29,5385,0.451136,0.487271,0.490604
30,5477,0.443785,0.473220,0.476693
31,5568,0.450196,0.480029,0.483334
32,5657,0.438278,0.468452,0.471703
33,5745,0.430756,0.467390,0.470579
34,5831,0.438700,0.470299,0.473538
35,5916,0.441433,0.471329,0.474576
36,6000,0.434745,0.470618,0.473896
37,6083,0.456128,0.488857,0.492016
38,6164,0.439248,0.488563,0.491803
39,6245,0.451320,0.484904,0.488655
40,6325,0.439726,0.474613,0.477863
41,6403,0.442603,0.478096,0.481277
42,6481,0.434869,0.472513,0.475588
43,6557,0.439060,0.493182,0.496352
44,6633,0.441484,0.493518,0.497035
45,6708,0.436102,0.506636,0.509696
46,6782,0.439558,0.492893,0.496278
47,6856,0.441339,0.533017,0.535812
48,6928,0.436814,0.507597,0.510851
49,7000,0.442121,0.509815,0.513138
50,7071,0.440765,0.522797,0.526146
51,7141,0.438245,0.513292,0.516436
52,7211,0.442952,0.512538,0.515653
53,7280,0.440903,0.508839,0.512133
54,7348,0.438725,0.533930,0.537400
55,7416,0.443169,0.510876,0.514081
56,7483,0.440427,0.586172,0.589653
57,7550,0.439111,0.502214,0.505513
58,7616,0.442206,0.522863,0.526113
59,7681,0.442745,0.513818,0.516836
60,7746,0.465487,0.547579,0.550323
61,7810,0.455178,0.520680,0.523899
62,7874,0.445527,0.511983,0.514956
63,7937,0.469855,0.570144,0.573267
64,8000,0.446839,0.523773,0.526892
65,8062,0.446882,0.520894,0.524185
66,8124,0.459018,0.525763,0.529032
67,8185,0.456101,0.536901,0.540424
68,8246,0.446130,0.560715,0.564046
69,8307,0.444175,0.527010,0.530436
70,8367,0.445975,0.534269,0.537674
71,8426,0.465965,0.559186,0.562176
72,8485,0.469808,0.578424,0.581606
73,8544,0.453436,0.547849,0.550815
74,8602,0.446201,0.536059,0.539102
75,8660,0.464417,0.541099,0.545000
76,8718,0.449219,0.537138,0.540656
77,8775,0.475091,0.574525,0.578055
78,8832,0.467947,0.765397,0.769461
79,8888,0.472137,0.552830,0.556655
80,8944,0.454706,0.560301,0.563590
81,9000,0.458944,0.563285,0.566989
82,9055,0.465514,0.547880,0.552016
83,9110,0.473127,0.574284,0.577647
84,9165,0.462886,0.576657,0.580294
85,9220,0.464182,0.555382,0.559190
86,9274,0.473985,0.562421,0.565944
87,9327,0.470119,0.608617,0.612353
88,9381,0.474044,0.669165,0.673433
89,9434,0.475801,0.588967,0.592779
90,9487,0.470467,0.566193,0.570201
91,9539,0.470769,0.588490,0.591887
92,9592,0.474558,0.642526,0.646660
93,9644,0.460588,0.560661,0.564156
94,9695,0.483050,0.637339,0.640763
95,9747,0.475279,0.620689,0.624574
96,9798,0.470469,0.622662,0.625816
97,9849,0.462063,0.608042,0.612589
98,9899,0.472825,0.626541,0.630012
99,9950,0.465880,0.601180,0.605589
100,10000,0.472062,0.617043,0.620652
101,10050,0.461480,0.581055,0.584696
102,10100,0.468561,0.653514,0.657491
103,10149,0.462863,0.580611,0.584253
104,10198,0.466659,0.587444,0.590680
105,10247,0.462244,0.573919,0.576849
106,10296,0.466253,0.586435,0.590394
107,10344,0.467133,0.595810,0.599669
108,10392,0.461876,0.580757,0.584626
109,10440,0.465131,0.583404,0.586247
110,10488,0.471160,0.631623,0.634986
111,10536,0.481739,0.599845,0.602733
112,10583,0.471466,0.611057,0.615736
113,10630,0.472246,0.605976,0.610032
114,10677,0.477803,0.588036,0.592033
115,10724,0.469749,0.589582,0.593256
116,10770,0.472142,0.597664,0.601639
117,10817,0.462482,0.611194,0.614301
118,10863,0.470700,0.600933,0.604653
119,10909,0.481264,0.606063,0.609926
120,10954,0.470327,0.627899,0.631922
121,11000,0.475890,0.615209,0.618476
122,11045,0.472285,0.601263,0.605753
123,11091,0.466868,0.596548,0.599952
124,11136,0.471937,0.623861,0.627154
125,11180,0.476378,0.706364,0.709786
126,11225,0.463600,0.621034,0.625108
127,11269,0.467734,0.594386,0.597133
128,11314,0.470920,0.642531,0.645504
129,11358,0.464694,7.071346,7.075314
130,11402,0.467097,6.773714,6.777297
131,11446,0.463206,5.822611,5.826432
132,11489,0.465772,13.668555,13.672165
133,11533,0.477300,5.954376,5.957723
134,11576,0.463139,6.330898,6.334824
135,11619,0.465020,5.594930,5.598190
136,11662,0.477700,6.636257,6.639528
137,11705,0.469727,6.287173,6.292777
138,11747,0.475978,5.601974,5.605406
139,11790,0.470561,6.622933,6.626831
140,11832,0.472983,7.519407,7.522947
141,11874,0.478308,6.404216,6.407350
142,11916,0.471189,6.972484,6.975760
143,11958,0.469385,6.988984,6.992283
144,12000,0.473091,7.279481,7.283498
145,12042,0.471405,5.497901,5.501487
146,12083,0.479452,5.927457,5.930960
147,12124,0.465391,9.073257,9.076428
148,12166,0.478824,6.033642,6.037645
149,12207,0.469059,6.124548,6.128721
150,12247,0.478193,5.461085,5.466906
151,12288,0.954413,6.398736,6.402104
152,12329,0.476726,6.824436,6.827957
153,12369,0.486952,6.160919,6.164389
154,12410,0.474827,5.983393,5.987134
155,12450,0.467128,6.042827,6.046887
156,12490,0.463695,6.707938,6.712206
157,12530,0.467123,6.814683,6.818178
158,12570,0.467320,5.962786,5.966512
159,12610,0.465073,5.476219,5.479435
160,12649,0.465071,6.090787,6.095970
161,12689,0.467384,5.794535,5.797917
162,12728,0.466858,6.095068,6.098456
163,12767,0.469503,5.889981,5.893862
164,12806,0.471813,6.514245,6.517851
165,12845,0.474949,6.777588,6.781162
166,12884,0.463582,6.135869,6.139401
167,12923,0.466954,6.321341,6.324847
168,12961,0.465525,6.700197,6.703727
169,13000,0.475749,6.166136,6.170588
170,13038,0.473417,6.335174,6.339185
171,13077,0.478537,6.568955,6.572481
172,13115,0.466976,6.109277,6.112806
173,13153,0.479419,7.761158,7.764897
174,13191,0.478174,6.637359,6.640901
175,13229,0.463105,6.325659,6.328776
176,13266,0.465990,6.592570,6.595975
177,13304,0.477344,6.195215,6.198681
178,13342,0.481907,6.865967,6.869346
179,13379,0.480953,6.286590,6.289709
180,13416,0.466314,7.004426,7.007940
181,13454,0.469658,5.763735,5.766899
182,13491,0.472442,5.833946,5.838008
183,13528,0.475800,6.410772,6.414280
184,13565,0.479499,5.715798,5.719080
185,13601,0.475437,6.562736,6.566048
