Workers,Size,Time(s)
1,1000,0.141701
2,1414,0.255601
3,1732,0.213601
4,2000,0.364825
5,2236,0.381487
6,2449,0.340370
7,2646,0.406541
8,2828,0.414068
9,3000,0.382647
10,3162,0.422621
11,3317,0.425298
12,3464,0.411768
13,3606,0.430502
14,3742,0.431934
15,3873,0.421099
16,4000,0.435761
17,4123,0.435594
18,4243,0.429302
19,4359,0.438637
20,4472,0.438730
21,4583,0.432224
22,4690,0.442129
23,4796,0.442526
24,4899,0.434765
25,5000,0.445799
26,5099,0.445427
27,5196,0.438916
28,5292,0.448188
29,5385,0.449435
30,5477,0.442286
31,5568,0.450541
32,5657,0.452157
33,5745,0.444755
34,5831,0.452548
35,5916,0.454152
36,6000,0.452183
37,6083,0.454599
38,6164,0.457539
39,6245,0.451228
40,6325,0.457928
41,6403,0.458141
42,6481,0.453913
43,6557,0.458466
44,6633,0.461424
45,6708,0.457477
46,6782,0.460967
47,6856,0.463894
48,6928,0.460524
49,7000,0.465990
50,7071,0.465118
51,7141,0.463576
52,7211,0.469085
53,7280,0.468258
54,7348,0.467933
55,7416,0.473909
56,7483,0.472380
57,7550,0.471887
58,7616,0.476840
59,7681,0.477790
60,7746,0.478661
61,7810,0.483427
62,7874,0.485449
63,7937,0.485076
64,8000,0.487994
65,8062,0.489157
66,8124,0.486224
67,8185,0.490323
68,8246,0.491389
69,8307,0.488310
70,8367,0.490093
71,8426,0.493067
72,8485,0.491591
73,8544,0.495017
74,8602,0.492844
75,8660,0.491999
76,8718,0.498769
77,8775,0.496162
78,8832,0.497364
79,8888,0.496369
80,8944,0.502258
81,9000,0.498466
82,9055,0.500825
83,9110,0.504428
84,9165,0.504430
85,9220,0.505924
86,9274,0.509075
87,9327,0.506087
88,9381,0.507276
89,9434,0.514580
90,9487,0.510198
91,9539,0.517628
92,9592,0.516772
93,9644,0.520089
94,9695,0.521664
95,9747,0.517949
96,9798,0.518158
97,9849,0.511283
98,9899,0.506692
99,9950,0.496977
100,10000,0.504176
101,10050,0.501742
102,10100,0.501077
103,10149,0.504489
104,10198,0.505557
105,10247,0.504895
106,10296,0.509010
107,10344,0.508070
108,10392,0.508765
109,10440,0.513672
110,10488,0.508223
111,10536,0.510324
112,10583,0.509311
113,10630,0.512502
114,10677,0.510649
115,10724,0.513037
116,10770,0.514176
117,10817,0.511417
118,10863,0.517081
119,10909,0.516468
120,10954,0.515822
121,11000,0.519654
122,11045,0.514236
123,11091,0.520720
124,11136,0.530451
125,11180,0.520448
126,11225,0.522801
127,11269,0.531701
128,11314,0.520144
129,11358,0.526599
130,11402,0.531191
131,11446,0.526846
132,11489,0.526847
133,11533,0.537669
134,11576,0.527712
135,11619,0.528035
136,11662,0.533299
137,11705,0.530311
138,11747,0.531446
139,11790,0.545249
140,11832,0.527256
141,11874,0.539174
142,11916,0.540240
143,11958,0.533292
144,12000,0.530339
145,12042,0.539706
146,12083,0.544048
147,12124,0.536350
148,12166,0.540472
149,12207,0.548637
150,12247,0.542371
151,12288,0.538751
152,12329,0.546073
153,12369,0.581681
154,12410,0.553533
155,12450,0.554279
156,12490,0.572490
157,12530,0.554022
158,12570,0.548680
159,12610,0.548255
160,12649,0.553819
161,12689,0.596117
162,12728,0.545056
163,12767,0.596773
164,12806,0.546740
165,12845,0.568034
166,12884,0.544379
167,12923,0.564711
168,12961,0.557243
169,13000,0.548773
170,13038,0.591571
171,13077,0.628689
172,13115,0.612078
173,13153,0.597920
174,13191,0.575129
175,13229,0.562440
176,13266,0.558026
177,13304,0.550892
178,13342,0.568263
179,13379,0.646992
180,13416,0.551713
181,13454,0.558436
182,13491,0.692386
183,13528,0.554365
184,13565,0.589169
185,13601,0.580645
186,13638,0.567891
187,13675,0.594895
188,13711,0.600716
189,13748,0.561131
190,13784,0.554313
191,13820,0.553128
192,13856,0.558902
193,13892,0.558780
194,13928,0.557926
195,13964,0.567089
196,14000,0.553596
197,14036,0.567307
198,14071,0.586252
199,14107,0.619014
200,14142,0.567611
201,14177,0.780132
202,14213,0.726743
203,14248,0.560129
204,14283,0.755542
205,14318,0.582102
206,14353,0.605114
207,14387,0.607777
208,14422,0.574421
209,14457,0.606971
210,14491,0.609098
211,14526,0.618780
212,14560,0.566844
213,14595,0.879638
214,14629,0.856179
215,14663,0.862893
216,14697,0.879650
217,14731,0.585954
218,14765,0.593589
219,14799,0.612744
220,14832,0.561521
221,14866,0.592575
222,14900,0.581810
223,14933,0.622276
224,14967,0.670700
225,15000,0.814729
226,15033,1.263208
227,15067,0.798614
228,15100,0.578171
229,15133,0.847808
230,15166,0.579360
231,15199,0.603417
232,15232,0.569325
233,15264,0.567961
234,15297,0.648142
235,15330,0.592865
236,15362,0.603802
237,15395,0.618916
238,15427,0.652649
239,15460,0.580125
240,15492,0.575343
241,15524,0.569654
242,15556,0.574866
243,15588,0.576209
244,15620,0.574793
245,15652,0.584520
246,15684,0.584567
247,15716,0.588540
248,15748,0.590552
249,15780,0.600538
250,15811,0.638636
251,15843,0.662510
252,15875,0.646171
253,15906,0.625402
254,15937,0.820118
255,15969,1.069518
256,16000,0.577379
