Workers,Size,ComputeTime,IOTime,TotalTime
1,1000,0.149494,0.386047,0.535577
2,1414,0.276717,0.027642,0.304394
3,1732,0.232246,0.005429,0.237723
4,2000,0.382286,0.007593,0.389930
5,2236,0.401687,0.579618,0.981360
6,2449,0.360002,0.301212,0.661267
7,2646,0.424855,0.097727,0.522626
8,2828,0.433257,0.023654,0.456970
9,3000,0.399948,0.008842,0.408845
10,3162,0.440368,1.175830,1.616254
11,3317,0.439928,0.115342,0.555312
12,3464,0.426105,0.024990,0.451153
13,3606,0.446337,0.009016,0.455405
14,3742,0.446061,0.147091,0.593193
15,3873,0.435906,0.150292,0.586248
16,4000,0.447935,0.027906,0.475881
17,4123,0.450352,0.012875,0.463282
18,4243,0.441043,0.209062,0.650147
19,4359,0.453449,0.287011,0.740516
20,4472,0.452617,0.030182,0.482838
21,4583,0.444763,0.231910,0.676715
22,4690,0.451200,0.367800,0.819040
23,4796,0.454402,0.031123,0.485564
24,4899,0.447678,1.079334,1.527067
25,5000,0.455486,0.473971,0.929520
26,5099,0.456328,0.033303,0.489686
27,5196,0.448809,1.624746,2.073609
28,5292,0.457924,0.326012,0.783976
29,5385,0.459326,0.035589,0.494955
30,5477,0.451435,0.578137,1.029623
31,5568,0.460636,0.397508,0.858185
32,5657,0.459587,1.240874,1.700498
33,5745,0.451417,0.429376,0.880835
34,5831,0.459730,1.680626,2.140410
35,5916,0.460887,0.654194,1.115124
36,6000,0.454130,1.344910,1.799082
37,6083,0.457837,0.774232,1.232111
38,6164,0.460045,0.456319,0.916417
39,6245,0.455376,0.039402,0.494835
40,6325,0.457787,1.410426,1.868252
41,6403,0.460054,0.550205,1.010316
42,6481,0.456585,0.558383,1.015009
43,6557,0.460425,0.625872,1.086351
44,6633,0.460740,0.719854,1.180649
45,6708,0.457581,0.042814,0.500436
46,6782,0.462264,0.687654,1.149958
47,6856,0.463627,0.791220,1.254889
48,6928,0.459839,0.928428,1.388308
49,7000,0.463109,2.199169,2.662336
50,7071,0.463069,0.982549,1.445672
51,7141,0.460395,0.780086,1.240522
52,7211,0.460632,1.441943,1.902613
53,7280,0.463531,0.741380,1.204954
54,7348,0.461358,0.913975,1.375386
55,7416,0.464743,1.433355,1.898150
56,7483,0.465954,1.166573,1.632567
57,7550,0.460963,0.880899,1.341916
58,7616,0.463061,1.331597,1.794700
59,7681,0.463982,2.637669,3.101691
60,7746,0.462281,2.146910,2.609249
61,7810,0.464294,0.858156,1.322493
62,7874,0.465147,1.200322,1.665507
63,7937,0.461864,0.823889,1.285808
64,8000,0.464896,2.196339,2.661288
65,8062,0.466026,2.235889,2.701969
66,8124,0.463916,2.728751,3.192710
67,8185,0.467915,2.380487,2.848464
68,8246,0.465478,1.863633,2.329173
69,8307,0.464559,2.661708,3.126329
70,8367,0.469561,1.616019,2.085621
71,8426,0.465339,2.169370,2.634747
72,8485,0.465490,2.076312,2.541861
73,8544,0.462092,2.310535,2.772672
74,8602,0.467530,2.332334,2.799905
75,8660,0.465229,2.076052,2.541320
76,8718,0.468299,1.997247,2.465603
77,8775,0.469376,2.159413,2.628858
78,8832,0.464752,2.009048,2.473853
79,8888,0.470449,1.482445,1.952945
80,8944,0.466587,1.795712,2.262360
81,9000,0.465511,1.519017,1.984569
82,9055,0.469274,1.719402,2.188731
83,9110,0.466791,1.707448,2.174306
84,9165,0.464889,1.608922,2.073868
85,9220,0.470256,1.538370,2.008670
86,9274,0.468372,1.612789,2.081202
87,9327,0.465544,1.841051,2.306638
88,9381,0.469929,1.656514,2.126486
89,9434,0.470382,2.186088,2.656522
90,9487,0.467950,1.428980,1.896973
91,9539,0.467521,1.553377,2.020938
92,9592,0.468847,1.663460,2.132348
93,9644,0.466764,1.437253,1.904060
94,9695,0.471125,1.759327,2.230494
95,9747,0.469425,1.527906,1.997370
96,9798,0.465972,1.669052,2.135069
97,9849,0.459684,1.536775,1.996495
98,9899,0.455599,1.693995,2.149643
99,9950,0.453161,1.466079,1.919279
100,10000,0.455404,1.804706,2.260163
101,10050,0.454848,1.455137,1.910028
102,10100,0.453853,1.776979,2.230885
103,10149,0.458344,1.580151,2.038553
104,10198,0.457028,1.628051,2.085133
105,10247,0.454621,1.554083,2.008746
106,10296,0.457406,1.844516,2.301997
107,10344,0.456773,1.558513,2.015344
108,10392,0.453528,1.532244,1.985815
109,10440,0.458631,1.619350,2.078023
110,10488,0.458605,1.550532,2.009179
111,10536,0.454918,1.630566,2.085538
112,10583,0.458995,1.628889,2.087929
113,10630,0.459008,1.672076,2.131139
114,10677,0.454549,1.884980,2.339580
115,10724,0.458912,1.705734,2.164701
116,10770,0.460078,1.644557,2.104694
117,10817,0.455228,1.736631,2.191910
118,10863,0.459066,1.652857,2.111978
119,10909,0.459838,1.996627,2.456508
120,10954,0.456502,1.739919,2.196460
121,11000,0.457391,1.650901,2.108336
122,11045,0.459904,1.663246,2.123199
123,11091,0.454792,2.166912,2.621759
124,11136,0.461214,2.003051,2.464307
125,11180,0.459158,1.912046,2.371253
126,11225,0.455979,1.716703,2.172732
127,11269,0.458506,1.644936,2.103486
128,11314,0.898881,1.732971,2.631894
