Workers,Size,Time(s)
1,1000,0.129337
2,1414,0.234636
3,1732,0.242194
4,2000,0.183349
5,2236,0.673222
6,2449,0.228101
7,2646,0.369525
8,2828,0.207730
9,3000,0.417403
10,3162,0.195195
11,3317,0.183790
12,3464,0.264247
13,3606,0.294639
14,3742,0.235187
15,3873,0.178182
16,4000,0.571196
17,4123,0.236238
18,4243,0.482875
19,4359,0.197998
20,4472,0.539939
21,4583,0.243861
22,4690,0.407357
23,4796,0.197749
24,4899,0.578763
25,5000,0.157433
26,5099,0.667570
27,5196,0.224259
28,5292,0.616667
29,5385,0.249542
30,5477,0.425660
31,5568,0.268715
32,5657,0.406339
33,5745,0.162816
34,5831,0.465284
35,5916,0.275478
36,6000,0.388118
37,6083,0.258605
38,6164,0.536635
39,6245,0.275646
40,6325,0.485611
41,6403,0.205839
42,6481,0.542732
43,6557,0.220967
44,6633,0.547358
45,6708,0.177931
46,6782,0.543664
47,6856,0.279246
48,6928,0.418448
49,7000,0.321373
50,7071,0.427015
51,7141,0.408424
52,7211,0.420981
53,7280,0.225589
54,7348,0.508170
55,7416,0.249089
56,7483,0.570796
57,7550,0.202583
58,7616,0.409730
59,7681,0.300527
60,7746,0.489647
61,7810,0.371814
62,7874,0.418113
63,7937,0.305314
64,8000,0.352339
65,8062,0.215097
66,8124,0.580165
67,8185,0.441968
68,8246,0.359547
69,8307,0.429234
70,8367,0.322259
71,8426,0.316310
72,8485,0.441255
73,8544,0.279846
74,8602,0.328408
75,8660,0.357304
76,8718,0.398599
77,8775,0.337025
78,8832,0.329005
79,8888,0.475150
80,8944,0.355036
81,9000,0.431447
82,9055,0.354700
83,9110,0.354371
84,9165,0.332169
85,9220,0.885192
86,9274,0.285907
87,9327,0.572888
88,9381,0.302519
89,9434,0.380780
90,9487,0.408047
91,9539,0.390032
92,9592,0.549014
93,9644,0.392406
94,9695,0.736767
95,9747,0.352964
96,9798,0.424505
97,9849,0.528742
98,9899,0.320058
99,9950,0.352092
100,10000,0.337237
101,10050,0.386110
102,10100,0.373712
103,10149,0.350585
104,10198,0.533629
105,10247,0.875288
106,10296,0.417438
107,10344,0.324615
108,10392,0.446509
109,10440,0.402197
110,10488,0.919215
111,10536,0.859946
112,10583,0.416853
113,10630,0.346961
114,10677,0.503217
115,10724,0.393765
116,10770,0.349746
117,10817,0.357588
118,10863,0.425823
119,10909,0.357052
120,10954,0.364049
121,11000,0.489825
122,11045,0.827868
123,11091,0.402799
124,11136,0.399235
125,11180,0.421294
126,11225,0.528341
127,11269,0.759827
128,11314,0.402236
