Workers,Size,Time(s)
1,1000,0.141715
2,1414,0.155841
3,1732,0.161330
4,2000,0.164999
5,2236,0.167029
6,2449,0.167405
7,2646,0.168032
8,2828,0.170916
9,3000,0.166195
10,3162,0.170688
11,3317,0.169209
12,3464,0.171536
13,3606,0.173057
14,3742,0.171647
15,3873,0.172150
16,4000,0.170775
17,4123,0.175184
18,4243,0.173932
19,4359,0.176040
20,4472,0.175990
21,4583,0.177405
22,4690,0.175060
23,4796,0.174694
24,4899,0.179349
25,5000,0.178994
26,5099,0.179512
27,5196,0.178941
28,5292,0.180406
29,5385,0.180569
30,5477,0.181083
31,5568,0.178828
32,5657,0.181427
33,5745,0.182441
34,5831,0.182677
35,5916,0.183317
36,6000,0.183280
37,6083,0.182238
38,6164,0.183344
39,6245,0.184558
40,6325,0.185679
41,6403,0.184100
42,6481,0.185960
43,6557,0.185697
44,6633,0.184846
45,6708,0.185755
46,6782,0.188122
47,6856,0.188397
48,6928,0.188746
49,7000,0.189784
50,7071,0.189849
51,7141,0.189259
52,7211,0.187994
53,7280,0.191647
54,7348,0.189337
55,7416,0.191676
56,7483,0.193104
57,7550,0.193234
58,7616,0.193633
59,7681,0.194446
60,7746,0.194000
61,7810,0.195270
62,7874,0.195664
63,7937,0.196543
64,8000,0.194148
65,8062,0.199271
66,8124,0.202977
67,8185,0.205868
68,8246,0.206699
69,8307,0.209118
70,8367,0.212615
71,8426,0.214462
72,8485,0.215950
73,8544,0.218570
74,8602,0.219758
75,8660,0.222024
76,8718,0.226626
77,8775,0.227548
78,8832,0.230984
79,8888,0.232944
80,8944,0.233459
81,9000,0.236259
82,9055,0.238493
83,9110,0.242589
84,9165,0.244437
85,9220,0.243284
86,9274,0.246973
87,9327,0.251014
88,9381,0.253968
89,9434,0.257112
90,9487,0.259560
91,9539,0.260751
92,9592,0.262099
93,9644,0.264617
94,9695,0.265883
95,9747,0.269122
96,9798,0.272674
97,9849,0.273210
98,9899,0.275741
99,9950,0.278767
100,10000,0.280324
101,10050,0.284888
102,10100,0.286425
103,10149,0.289550
104,10198,0.291292
105,10247,0.293767
106,10296,0.292841
107,10344,0.296759
108,10392,0.299624
109,10440,0.301006
110,10488,0.302811
111,10536,0.304952
112,10583,0.309352
113,10630,0.310395
114,10677,0.314646
115,10724,0.316336
116,10770,0.318079
117,10817,0.317741
118,10863,0.321269
119,10909,0.326101
120,10954,0.327531
121,11000,0.331075
122,11045,0.331424
123,11091,0.333396
124,11136,0.336716
125,11180,0.338879
126,11225,0.340046
127,11269,0.343694
128,11314,0.345926
